campaign_id,channel,campaign_type,spend,impressions,clicks,leads_generated,conversions,CAC,ROI,campaign_date
CAM-00028,Content/SEO,Brand Awareness,4225.59,257359,16702,368,30,153.09,13563.5,2023-04-18
CAM-00029,Content/SEO,Brand Awareness,1783.02,46430,1750,40,7,326.68,12538.0,2023-06-23
CAM-00030,Cold Outbound,Lead Gen,7700.42,375489,7247,134,8,804.44,3811.2,2022-10-06
CAM-00031,LinkedIn,Nurture,10045.98,376270,2438,64,8,1610.88,1664.3,2024-01-14
CAM-00032,Partner,Account-Based,12111.59,926925,42039,5246,504,29.04,153319.7,2024-11-01
CAM-00033,LinkedIn,Lead Gen,21039.89,930185,11459,281,37,466.99,12831.8,2024-10-04
CAM-00034,Cold Outbound,Lead Gen,4141.23,82962,1058,20,2,2332.15,3092.4,2022-10-05
CAM-00035,LinkedIn,Lead Gen,19602.53,1500348,16556,555,55,350.66,15594.4,2022-02-10
CAM-00036,Cold Outbound,Re-engagement,9651.89,348085,7708,183,35,350.32,21924.8,2024-11-14
CAM-00037,Cold Outbound,Account-Based,3980.71,304988,4084,87,9,436.8,9606.4,2024-01-01
CAM-00038,Retargeting,Lead Gen,2625.72,43855,2238,125,19,141.03,27587.1,2022-10-12
CAM-00039,Events,Nurture,75662.59,4574648,675190,63865,9615,7.36,306856.6,2023-12-18
CAM-00040,Partner,Nurture,10428.05,715887,32071,2685,473,25.42,352783.6,2025-11-28
CAM-00041,Partner,Lead Gen,14468.2,1066091,73033,5017,289,56.42,79001.4,2023-05-30
CAM-00042,Google Ads,Product Launch,30841.28,2015583,54756,3729,738,45.89,150933.3,2025-10-21
CAM-00043,Webinar,Upsell,4509.13,259715,34723,3855,546,6.99,859521.8,2024-08-16
CAM-00044,Partner,Product Launch,5094.6,74806,3585,435,47,88.95,36526.1,2022-06-17
CAM-00045,Retargeting,Upsell,17644.59,935865,65672,3800,622,31.84,57574.5,2025-12-18
CAM-00046,Email,Re-engagement,4492.28,65613,1944,106,9,427.32,7182.2,2022-09-26
CAM-00047,Retargeting,Brand Awareness,8835.69,363683,25729,2282,135,81.04,113056.4,2023-06-19
CAM-00048,Partner,Upsell,14041.43,640490,48672,4648,782,18.01,398517.4,2025-01-09
CAM-00049,LinkedIn,Upsell,13588.45,865374,5668,169,9,1889.72,2209.1,2024-12-12
CAM-00050,Content/SEO,Lead Gen,1731.47,99454,3840,143,12,147.02,49036.5,2025-01-09
CAM-00051,Google Ads,Account-Based,38203.43,804178,34244,1593,155,247.3,29392.3,2023-06-19
CAM-00052,Email,Account-Based,608.95,31148,1094,53,2,301.38,17776.7,2025-09-20
CAM-00053,Events,Lead Gen,27159.56,1400016,442124,29168,5078,5.66,763207.5,2022-11-10
CAM-00054,Email,Nurture,3876.21,81192,2009,58,3,1600.5,2756.6,2025-09-10
CAM-00055,Google Ads,Lead Gen,9869.34,544710,25351,1843,142,86.59,23573.9,2022-10-06
CAM-00056,Content/SEO,Re-engagement,3836.59,59139,2654,92,4,916.69,6455.4,2022-10-07
CAM-00057,Webinar,Upsell,7909.93,333374,52665,4964,688,10.75,588497.5,2025-03-13
CAM-00058,Partner,Re-engagement,12281.48,539469,42886,2883,421,28.57,264089.3,2022-01-12
CAM-00059,Email,Product Launch,1567.55,85990,2904,122,17,100.1,82653.9,2025-12-31
CAM-00060,Retargeting,Lead Gen,5894.43,402755,17505,1232,107,70.91,125150.1,2024-09-05
CAM-00061,Content/SEO,Account-Based,4909.89,285637,22698,899,71,77.35,97092.9,2024-08-08
CAM-00062,Email,Re-engagement,758.68,15844,272,13,1,801.16,3419.9,2023-05-02
CAM-00063,Email,Nurture,1011.69,60587,1713,94,16,74.64,97739.6,2024-03-14
CAM-00064,Google Ads,Re-engagement,36376.17,513582,27940,1733,186,220.98,15360.1,2025-12-29
CAM-00065,LinkedIn,Lead Gen,14701.27,303473,2206,53,6,2715.7,1501.7,2023-04-09
CAM-00066,Google Ads,Account-Based,23414.21,777788,30093,2120,217,111.28,58261.9,2023-06-28
CAM-00067,Email,Upsell,2873.4,151176,4939,186,19,133.01,39464.2,2025-11-24
CAM-00068,Webinar,Product Launch,3674.85,137098,10464,716,63,73.35,55024.9,2023-11-08
CAM-00069,Email,Lead Gen,4416.83,335090,9121,500,48,85.35,31945.6,2022-04-13
CAM-00070,Retargeting,Brand Awareness,4061.92,51279,1799,94,14,266.49,14821.3,2022-11-18
CAM-00071,Events,Upsell,10232.62,660416,187605,9920,1667,5.53,634054.5,2023-05-19
CAM-00072,Cold Outbound,Brand Awareness,6992.32,384948,7415,147,10,738.08,10046.5,2024-05-14
CAM-00073,Cold Outbound,Brand Awareness,8525.92,309028,6536,135,12,918.43,9529.5,2025-08-03
CAM-00074,LinkedIn,Product Launch,17309.5,870487,6520,120,10,2062.44,3585.5,2024-09-05
CAM-00075,Content/SEO,Product Launch,1277.25,38175,2306,48,8,173.47,11942.1,2023-05-18
CAM-00076,Webinar,Nurture,3056.71,223791,19888,1639,239,15.54,473876.1,2023-02-05
CAM-00077,Webinar,Lead Gen,5883.78,165598,23120,2067,137,38.29,37616.6,2022-01-11
CAM-00078,Cold Outbound,Lead Gen,5381.57,84409,1615,22,4,1622.54,3727.2,2023-11-26
CAM-00079,Email,Product Launch,3956.36,241247,6921,354,51,82.62,34196.0,2023-08-06
CAM-00080,Cold Outbound,Account-Based,4430.99,292186,3956,54,10,531.07,14235.8,2022-02-09
CAM-00081,Webinar,Account-Based,5586.01,309882,56791,3613,294,18.61,92680.9,2024-03-18
CAM-00082,Content/SEO,Product Launch,2358.07,148667,6028,157,14,204.98,40526.0,2025-03-15
CAM-00083,Events,Lead Gen,40176.79,2745451,595892,39619,6678,5.88,289509.8,2022-09-27
CAM-00084,Retargeting,Product Launch,3991.07,261498,8389,529,28,160.59,51421.3,2025-05-01
CAM-00085,Webinar,Account-Based,4358.19,130807,13692,1395,172,31.61,175577.2,2023-10-13
CAM-00086,Events,Account-Based,45205.56,1240589,186654,18056,2168,19.04,278059.6,2024-08-25
CAM-00087,Webinar,Re-engagement,1699.53,22016,3072,197,35,43.58,96030.5,2025-05-13
CAM-00088,Content/SEO,Account-Based,2558.12,105451,3853,132,17,158.01,41873.8,2023-12-13
CAM-00089,Partner,Brand Awareness,14055.76,491557,36148,3474,193,94.27,47136.9,2023-01-25
CAM-00090,Cold Outbound,Re-engagement,1092.94,35230,763,15,1,1251.12,6109.8,2024-05-16
CAM-00091,Events,Account-Based,31073.51,966667,155588,14006,1125,24.6,160902.3,2022-12-02
CAM-00092,Google Ads,Lead Gen,34706.62,1450428,34461,2415,422,93.61,92733.2,2024-02-16
CAM-00093,Content/SEO,Nurture,2088.19,141129,11372,469,24,71.4,76754.2,2024-02-28
CAM-00094,Retargeting,Nurture,14726.4,482721,15581,757,150,85.96,77541.9,2024-02-20
CAM-00095,Retargeting,Re-engagement,16369.6,1049938,31166,2374,247,55.13,110524.0,2023-07-11
CAM-00096,Cold Outbound,Product Launch,3389.62,216047,2312,53,8,416.94,15208.6,2025-10-01
CAM-00097,Google Ads,Nurture,26107.2,1374535,43208,2913,290,115.08,37167.1,2025-06-22
CAM-00098,Partner,Upsell,9893.87,483665,44810,4709,424,26.28,184174.9,2025-01-12
CAM-00099,Retargeting,Account-Based,10650.37,112159,7928,563,44,235.88,15022.8,2023-11-25
CAM-00100,Webinar,Nurture,1962.16,37919,2967,194,21,110.06,80531.8,2025-07-15
CAM-00101,Cold Outbound,Product Launch,7776.68,422731,7024,175,17,402.46,4030.9,2025-04-06
CAM-00102,Cold Outbound,Lead Gen,6767.81,515767,6909,162,22,252.79,19763.1,2025-07-11
CAM-00103,Google Ads,Upsell,20292.93,1602593,74608,3877,200,99.96,77046.0,2025-02-08
CAM-00104,Partner,Product Launch,6002.3,358651,32062,2090,248,29.09,320105.9,2023-02-09
CAM-00105,Content/SEO,Product Launch,4803.61,374228,24518,958,84,47.48,44629.5,2022-09-04
CAM-00106,Email,Nurture,4859.36,350237,10020,542,34,141.49,43997.8,2025-01-05
CAM-00107,Cold Outbound,Upsell,3843.51,194753,4095,76,11,320.04,4528.2,2023-10-06
CAM-00108,Partner,Nurture,4455.48,312214,15945,1538,243,16.86,329194.8,2022-06-23
CAM-00109,Events,Re-engagement,59904.44,2282695,576233,50319,4147,16.21,450514.0,2023-07-26
CAM-00110,Email,Nurture,2561.59,56928,1724,64,4,715.98,2270.6,2025-06-10
CAM-00111,Webinar,Product Launch,2808.37,156211,24076,2007,138,20.83,378600.8,2023-01-06
CAM-00112,Google Ads,Brand Awareness,23841.63,1072106,38938,2490,134,170.49,32524.3,2022-01-07
CAM-00113,Events,Upsell,65717.88,1529458,471157,34010,4228,14.97,207398.1,2024-04-27
CAM-00114,Partner,Nurture,2430.18,172390,8563,1040,159,12.93,215676.9,2025-04-23
CAM-00115,Content/SEO,Brand Awareness,3292.91,158444,6487,170,11,344.79,4915.3,2022-06-16
CAM-00116,Cold Outbound,Nurture,3490.81,152672,1967,28,5,573.91,8691.3,2024-06-08
CAM-00117,Content/SEO,Re-engagement,5578.89,134131,7566,278,21,321.64,9942.5,2023-07-25
CAM-00118,Google Ads,Account-Based,32124.49,1360244,67449,3236,366,98.72,24721.6,2024-05-26
CAM-00119,Content/SEO,Account-Based,1052.52,35425,2765,65,4,219.36,26688.3,2022-12-06
CAM-00120,Events,Product Launch,36672.63,784220,132766,9460,848,34.67,65447.0,2025-10-29
CAM-00121,Partner,Brand Awareness,3336.45,182289,6624,552,107,39.73,155579.4,2024-09-04
CAM-00122,Content/SEO,Re-engagement,3884.85,309390,19665,549,55,69.34,80728.7,2024-05-17
CAM-00123,Cold Outbound,Brand Awareness,1798.86,27115,250,4,0,2186.04,-100.0,2025-10-15
CAM-00124,Events,Lead Gen,30151.29,1726649,402079,28577,3268,11.37,289694.7,2022-10-04
CAM-00125,Events,Upsell,57299.08,3363249,755134,65945,6760,7.27,306482.8,2023-01-25
CAM-00126,Cold Outbound,Nurture,7481.27,302908,6087,97,12,758.52,7242.2,2025-06-16
CAM-00127,Email,Nurture,2054.07,60590,2199,89,6,380.14,23093.5,2024-03-05
CAM-00128,Content/SEO,Account-Based,2384.35,86671,6519,225,37,79.18,34816.3,2023-10-19
CAM-00129,Cold Outbound,Brand Awareness,6584.11,263455,6141,121,23,357.46,5677.2,2022-06-01
CAM-00130,Webinar,Account-Based,4145.07,66780,8232,835,131,34.84,192955.5,2024-10-20
CAM-00131,LinkedIn,Nurture,9984.73,772378,5959,187,32,295.94,15819.9,2024-11-12
CAM-00132,Events,Account-Based,53908.13,2444422,427137,21971,2844,19.67,93179.7,2023-07-11
CAM-00133,Webinar,Re-engagement,5502.31,146562,22006,2380,224,22.89,101631.6,2022-04-24
CAM-00134,Webinar,Re-engagement,5119.17,388266,72762,5913,378,15.13,317252.3,2024-11-20
CAM-00135,Partner,Brand Awareness,14202.88,1035885,81622,7636,669,17.7,159427.2,2022-09-09
CAM-00136,Email,Nurture,2666.23,208289,3279,146,17,143.22,32713.2,2024-04-29
CAM-00137,Events,Product Launch,16793.4,410295,93748,6217,449,45.09,142291.9,2022-10-04
CAM-00138,Google Ads,Brand Awareness,35792.0,629320,13821,566,84,361.39,16711.7,2023-07-21
CAM-00139,Email,Product Launch,4641.59,177052,5753,302,24,156.84,12728.5,2025-11-16
CAM-00140,Partner,Upsell,10146.5,793271,41823,4784,582,20.11,358518.3,2024-01-10
CAM-00141,Webinar,Nurture,5825.26,422376,40227,4203,597,11.93,521490.8,2023-10-10
CAM-00142,Partner,Re-engagement,4827.34,273754,12159,1434,122,50.65,63128.6,2025-11-02
CAM-00143,LinkedIn,Upsell,21594.6,992516,9978,209,30,675.11,3548.9,2025-06-02
CAM-00144,Content/SEO,Nurture,1593.56,56271,2989,83,15,108.14,49846.7,2024-03-31
CAM-00145,Partner,Nurture,11688.46,202189,14078,1260,207,56.37,35313.7,2023-10-11
CAM-00146,Cold Outbound,Upsell,2966.62,108286,1485,37,3,895.98,7377.4,2022-12-12
CAM-00147,Partner,Upsell,10138.58,212409,9545,1186,77,135.73,39106.8,2022-05-14
CAM-00148,Email,Lead Gen,2503.27,130248,2159,68,8,314.01,8966.3,2022-06-01
CAM-00149,Webinar,Product Launch,2546.04,77832,12520,1087,74,29.73,218419.1,2023-09-07
CAM-00150,Partner,Upsell,11050.89,815305,33636,3674,615,19.37,420794.9,2022-12-17
CAM-00151,Email,Brand Awareness,2924.04,138493,2852,81,7,359.49,5811.2,2023-11-25
CAM-00152,Webinar,Lead Gen,6225.67,162006,15517,1345,97,78.07,123840.7,2025-03-11
CAM-00153,Partner,Product Launch,4722.1,138554,5936,549,76,79.18,40624.3,2025-10-23
CAM-00154,LinkedIn,Nurture,14193.95,893187,5707,174,23,773.62,7292.8,2023-09-24
CAM-00155,Google Ads,Brand Awareness,36338.93,1812920,54162,3333,615,67.37,73558.4,2022-01-19
CAM-00156,Webinar,Upsell,3355.09,244281,35134,2229,246,15.03,431785.3,2025-05-20
CAM-00157,Cold Outbound,Re-engagement,6331.23,347539,4995,89,6,1290.73,7177.6,2023-10-24
CAM-00158,Events,Re-engagement,45670.38,1358788,394192,23375,3855,11.27,540097.6,2023-01-06
CAM-00159,Content/SEO,Re-engagement,2668.17,79453,3513,137,27,89.14,40052.3,2023-04-21
CAM-00160,Partner,Re-engagement,6624.63,106296,7287,511,71,108.46,30430.6,2024-11-16
CAM-00161,LinkedIn,Brand Awareness,4164.43,66220,352,6,1,3522.94,1115.7,2024-03-29
CAM-00162,Webinar,Re-engagement,1923.82,147472,16023,1111,198,8.15,762072.0,2023-10-09
CAM-00163,Email,Account-Based,1277.62,74424,2593,104,10,136.07,36224.0,2022-06-25
CAM-00164,Events,Re-engagement,31175.36,2460035,695294,38555,6096,6.45,932793.1,2024-04-09
CAM-00165,LinkedIn,Lead Gen,8929.38,679411,4329,94,9,857.15,6868.1,2022-04-12
CAM-00166,Webinar,Re-engagement,6309.5,111624,20985,1186,206,25.98,133854.7,2022-01-06
CAM-00167,Content/SEO,Product Launch,4163.31,314971,14064,475,73,57.93,45924.5,2025-09-16
CAM-00168,Retargeting,Nurture,4133.83,192422,6022,329,64,81.06,65595.7,2024-05-12
CAM-00169,Cold Outbound,Upsell,1088.21,38169,396,8,0,1335.9,-100.0,2023-02-28
CAM-00170,Events,Upsell,22868.15,1558815,270675,23234,2793,7.05,834284.0,2023-04-13
CAM-00171,Cold Outbound,Upsell,8914.57,110057,2539,48,7,1492.47,5707.8,2025-01-08
CAM-00172,Content/SEO,Upsell,2205.32,82986,6281,237,18,98.74,30132.2,2024-10-23
CAM-00173,LinkedIn,Upsell,8825.63,101074,1076,20,3,2449.2,1076.3,2023-09-01
CAM-00174,Content/SEO,Brand Awareness,5378.72,287852,21057,804,156,33.3,84810.4,2025-03-22
CAM-00175,Email,Product Launch,1350.31,99601,1910,95,5,227.04,11482.4,2024-04-24
CAM-00176,Google Ads,Brand Awareness,25018.96,873324,41978,2338,189,111.17,55349.3,2022-12-13
CAM-00177,Google Ads,Upsell,6733.12,173658,4676,335,34,233.07,13973.5,2022-11-24
CAM-00178,Events,Product Launch,14738.27,193437,23667,1415,185,68.41,29325.0,2025-11-20
CAM-00179,Partner,Account-Based,13342.95,809498,58190,6284,1188,12.27,505695.5,2023-08-31
CAM-00180,Retargeting,Brand Awareness,5032.57,379461,23853,1953,209,23.94,164001.8,2023-08-17
CAM-00181,Content/SEO,Lead Gen,3921.04,118874,5251,110,10,438.87,9210.4,2023-11-29
CAM-00182,Events,Nurture,24621.39,361675,52675,3697,265,89.62,28296.9,2023-04-25
CAM-00183,LinkedIn,Nurture,15403.16,803624,7375,205,39,447.5,19488.9,2025-09-06
CAM-00184,Google Ads,Lead Gen,5063.09,183263,4098,177,22,297.75,31417.9,2022-05-21
CAM-00185,Events,Nurture,47339.48,2677242,337067,28982,4156,12.91,588927.6,2022-02-07
CAM-00186,Partner,Product Launch,4952.16,241411,8850,708,43,136.93,27680.6,2025-07-16
CAM-00187,Retargeting,Brand Awareness,5190.38,104950,4604,219,25,211.2,20213.5,2022-12-22
CAM-00188,Google Ads,Product Launch,8678.07,485572,16132,748,61,180.24,30557.9,2025-12-15
CAM-00189,Events,Lead Gen,16922.72,570647,118043,9087,563,30.02,248296.7,2025-03-30
CAM-00190,LinkedIn,Re-engagement,5770.75,248066,1778,52,7,671.57,9374.1,2023-01-07
CAM-00191,Events,Product Launch,52252.16,4166009,1174375,97641,9349,4.52,1058998.7,2023-08-05
CAM-00192,Content/SEO,Re-engagement,2590.28,193167,9292,281,14,165.71,28930.1,2023-04-05
CAM-00193,Webinar,Product Launch,4873.19,105544,12423,944,179,33.05,143201.6,2025-08-28
CAM-00194,Email,Lead Gen,2000.92,102360,1707,74,14,144.63,33284.0,2022-05-16
CAM-00195,LinkedIn,Brand Awareness,4322.48,108911,1084,37,5,1121.54,2891.1,2024-10-19
CAM-00196,Content/SEO,Account-Based,3462.17,42525,2181,91,4,961.7,8907.4,2023-03-11
CAM-00197,Partner,Brand Awareness,6515.33,240838,22572,2594,337,25.01,172891.6,2022-03-26
CAM-00198,Content/SEO,Account-Based,5175.79,57272,4230,106,17,392.83,24973.2,2023-04-28
CAM-00199,Partner,Product Launch,11890.79,326096,12998,1205,90,131.42,35288.8,2025-10-06
CAM-00200,Events,Upsell,11281.18,250674,78010,7361,497,25.55,140350.3,2025-03-05
CAM-00201,LinkedIn,Account-Based,18175.14,1029507,7815,216,17,954.26,3529.3,2024-10-22
CAM-00202,Google Ads,Lead Gen,5846.48,239130,12638,600,47,156.78,52804.1,2022-01-13
CAM-00203,Content/SEO,Product Launch,2398.65,51347,4170,152,30,90.56,82001.1,2024-02-04
CAM-00204,Content/SEO,Lead Gen,2074.88,101729,8666,291,47,49.69,39304.2,2025-09-07
CAM-00205,Events,Account-Based,79773.02,4115113,657246,50230,4049,20.23,122923.9,2025-08-06
CAM-00206,Partner,Lead Gen,12001.38,809412,36099,2980,215,63.48,34152.8,2024-12-30
CAM-00207,Email,Nurture,1844.57,43627,1674,51,4,500.45,10366.6,2024-05-25
CAM-00208,Content/SEO,Product Launch,3258.25,132275,5771,161,28,98.51,20854.8,2024-11-07
CAM-00209,Retargeting,Lead Gen,4381.69,278725,11134,746,101,39.11,121381.1,2023-06-01
CAM-00210,Google Ads,Account-Based,21580.92,1266524,29993,1602,171,160.33,36572.4,2022-09-29
CAM-00211,Cold Outbound,Nurture,5474.02,99155,1226,23,2,2442.87,2180.4,2022-11-21
CAM-00212,Webinar,Product Launch,3867.22,68228,10699,672,37,94.19,67426.9,2022-09-05
CAM-00213,Webinar,Nurture,6669.85,362825,56429,3487,464,14.84,532330.5,2025-10-09
CAM-00214,Cold Outbound,Product Launch,5466.86,228093,4063,54,2,3151.01,2432.4,2025-03-01
CAM-00215,Webinar,Nurture,4946.67,245421,25267,2504,265,17.62,244290.0,2023-02-02
CAM-00216,Cold Outbound,Lead Gen,4207.14,314266,6684,146,20,193.25,35788.3,2022-09-12
CAM-00217,Events,Lead Gen,11909.11,496318,122263,11646,1277,8.53,591961.7,2025-08-16
CAM-00218,Webinar,Nurture,4764.48,326529,35324,3302,288,15.38,302638.8,2025-09-14
CAM-00219,Content/SEO,Lead Gen,2598.0,206660,11957,441,32,99.96,32434.2,2022-09-05
CAM-00220,Partner,Nurture,13709.01,587348,26789,3231,420,27.87,156606.8,2025-12-26
CAM-00221,Email,Product Launch,3013.25,161340,5837,188,19,184.0,45290.9,2022-10-30
CAM-00222,LinkedIn,Brand Awareness,17223.77,1230361,9417,260,28,771.14,3028.1,2024-05-30
CAM-00223,Email,Brand Awareness,4550.28,206813,6074,339,60,63.29,78333.8,2024-10-28
CAM-00224,Email,Product Launch,1572.83,88066,2136,94,7,216.14,24716.5,2024-10-25
CAM-00225,Events,Product Launch,37880.21,539987,79820,6500,1159,30.15,125313.0,2025-06-03
CAM-00226,Events,Lead Gen,36708.08,750630,149261,7906,1186,30.79,58510.5,2024-08-11
CAM-00227,Cold Outbound,Brand Awareness,5761.62,285871,3211,75,10,728.12,11204.7,2022-06-23
CAM-00228,LinkedIn,Brand Awareness,10239.8,130615,643,16,1,9668.84,264.7,2023-08-15
CAM-00229,Webinar,Product Launch,6037.39,112896,19101,2019,274,27.44,135855.9,2022-06-12
CAM-00230,LinkedIn,Product Launch,9411.18,306150,3245,64,11,937.84,7990.6,2024-11-04
CAM-00231,Events,Upsell,18478.51,717734,151505,7448,1176,18.66,115734.7,2025-11-30
CAM-00232,Webinar,Re-engagement,2191.96,103574,15839,1677,322,7.87,1123274.6,2023-01-22
CAM-00233,Content/SEO,Re-engagement,945.61,65451,5638,125,16,51.81,118164.9,2025-12-19
CAM-00234,Events,Nurture,72039.21,1166315,151798,11346,1344,51.98,131695.5,2024-09-05
CAM-00235,Google Ads,Nurture,32989.25,1524216,57371,3224,232,114.91,26697.2,2024-09-22
CAM-00236,Webinar,Brand Awareness,3870.66,54319,5326,481,95,36.54,163200.4,2025-05-22
CAM-00237,Content/SEO,Product Launch,5767.48,135851,10131,298,47,137.29,27273.0,2025-10-20
CAM-00238,Cold Outbound,Lead Gen,4387.46,71113,968,16,2,2370.82,1960.5,2024-12-20
CAM-00239,Email,Re-engagement,4337.29,92180,3444,151,9,506.3,5132.9,2023-12-23
CAM-00240,Content/SEO,Account-Based,4489.0,167900,13100,331,44,92.54,49123.6,2025-03-06
CAM-00241,Google Ads,Account-Based,26704.9,1189944,58978,2690,311,84.06,63388.9,2025-08-03
CAM-00242,Cold Outbound,Upsell,7854.56,553745,7747,179,28,282.23,6596.0,2023-03-28
CAM-00243,Retargeting,Lead Gen,15590.09,227096,15976,875,87,191.49,17688.9,2023-11-23
CAM-00244,Google Ads,Re-engagement,37885.68,1248738,63935,2572,506,67.17,101869.4,2023-02-14
CAM-00245,Email,Nurture,4137.91,180216,3864,182,34,116.12,64964.9,2024-11-22
CAM-00246,LinkedIn,Product Launch,14211.85,528279,6580,134,21,568.87,3190.1,2022-04-14
CAM-00247,Webinar,Upsell,5261.42,264360,24579,2442,460,11.54,497806.6,2023-05-29
CAM-00248,Content/SEO,Upsell,3519.2,215094,16078,504,65,65.23,110024.2,2025-03-23
CAM-00249,Retargeting,Upsell,10020.98,283654,20064,1680,332,26.02,140940.5,2025-10-04
CAM-00250,Cold Outbound,Re-engagement,4440.84,271121,5173,89,17,296.55,15684.1,2025-09-09
CAM-00251,Partner,Brand Awareness,13016.11,286426,24577,2196,197,72.43,105417.9,2025-06-10
CAM-00252,Content/SEO,Upsell,5548.38,194494,15398,387,21,322.35,16522.3,2025-12-01
CAM-00253,Content/SEO,Product Launch,1255.15,93305,4492,161,22,57.73,29992.6,2024-01-07
CAM-00254,Content/SEO,Nurture,2986.42,35471,1745,38,4,968.25,2626.1,2023-07-08
CAM-00255,Email,Nurture,4724.82,231236,7302,373,36,162.09,16073.0,2022-04-18
CAM-00256,Partner,Re-engagement,6948.59,127006,7179,741,125,51.68,96457.0,2025-02-18
CAM-00257,Retargeting,Brand Awareness,14136.93,847026,54627,4810,320,57.2,90656.4,2023-08-03
CAM-00258,Retargeting,Lead Gen,16176.25,1127593,41835,3287,332,47.58,154293.6,2025-04-03
CAM-00259,Email,Nurture,1589.9,22726,361,16,2,829.97,8940.3,2022-06-06
CAM-00260,Webinar,Lead Gen,2099.85,58643,7172,643,116,15.25,170400.3,2024-08-31
CAM-00261,Webinar,Product Launch,2460.81,190121,16863,1513,299,10.52,846618.7,2022-05-25
CAM-00262,LinkedIn,Re-engagement,10432.2,315348,1919,46,6,1943.47,4204.6,2022-05-21
CAM-00263,LinkedIn,Nurture,3575.95,143287,1039,29,5,573.0,10259.0,2022-05-16
CAM-00264,Cold Outbound,Account-Based,4412.71,288109,4567,86,7,729.04,7482.1,2023-05-31
CAM-00265,Cold Outbound,Re-engagement,4308.67,174613,1791,24,3,1227.43,3141.2,2025-03-17
CAM-00266,Cold Outbound,Nurture,2328.15,179839,3416,54,9,230.96,15970.3,2024-07-16
CAM-00267,Content/SEO,Product Launch,4546.57,258126,10242,379,38,145.19,57217.7,2022-01-09
CAM-00268,Content/SEO,Account-Based,2241.45,49499,2570,91,10,216.07,33160.1,2024-10-29
CAM-00269,Google Ads,Lead Gen,14379.31,758645,17220,1145,60,299.94,32144.6,2022-08-31
CAM-00270,LinkedIn,Upsell,12529.75,849434,6368,193,21,488.41,10229.0,2025-08-18
CAM-00271,LinkedIn,Nurture,8680.62,590925,6712,120,20,354.56,14403.4,2024-05-22
CAM-00272,LinkedIn,Nurture,13388.98,1045081,6723,227,15,1133.23,1622.5,2025-07-24
CAM-00273,Webinar,Re-engagement,6041.9,374558,59265,6389,796,8.18,461117.3,2023-10-10
CAM-00274,Partner,Brand Awareness,14564.18,733516,47104,3514,652,26.92,232081.4,2022-08-08
CAM-00275,LinkedIn,Upsell,17930.91,304143,2571,77,11,1420.55,3353.8,2025-12-17
