ticket_id,customer_id,issue_type,priority,created_date,resolution_time_hours,SLA_breach_flag,CSAT_score,escalation_flag
TKT-000048,CUS-09915,Technical Bug,Low,2022-04-24,16.6,0,3.9,0
TKT-000049,CUS-02918,Integration Issue,High,2025-09-20,3.3,0,3.6,0
TKT-000050,CUS-08508,Technical Bug,High,2025-01-22,7.7,0,4.3,0
TKT-000051,CUS-01706,Integration Issue,High,2024-04-25,13.6,1,3.2,1
TKT-000052,CUS-02388,Integration Issue,Medium,2024-05-28,21.2,0,3.5,0
TKT-000053,CUS-05919,Billing,Low,2024-10-09,70.0,0,3.5,0
TKT-000054,CUS-02892,Account Access,Low,2024-04-25,32.3,0,4.6,0
TKT-000055,CUS-01612,Onboarding,Critical,2023-04-21,6.6,1,2.6,0
TKT-000056,CUS-09856,Account Access,Medium,2022-08-15,21.3,0,3.4,0
TKT-000057,CUS-07552,Reporting,High,2024-02-10,4.7,0,4.4,0
TKT-000058,CUS-09943,Onboarding,Medium,2024-02-21,46.6,1,3.3,0
TKT-000059,CUS-05086,Billing,Low,2024-11-04,69.9,0,2.6,0
TKT-000060,CUS-04016,Account Access,Medium,2022-10-27,37.7,1,3.4,0
TKT-000061,CUS-03913,Performance,High,2025-04-14,7.0,0,4.5,0
TKT-000062,CUS-03079,Feature Request,Medium,2022-10-22,57.1,1,3.0,1
TKT-000063,CUS-06710,Performance,High,2025-01-26,5.3,0,2.9,0
TKT-000064,CUS-07336,Onboarding,Low,2023-04-08,164.4,1,1.4,0
TKT-000065,CUS-05502,Performance,Medium,2024-07-31,9.0,0,3.8,0
TKT-000066,CUS-02618,Onboarding,High,2022-11-10,7.0,0,3.9,0
TKT-000067,CUS-09976,Onboarding,Low,2022-09-05,152.2,1,3.6,1
TKT-000068,CUS-08918,Billing,Medium,2025-09-29,24.1,1,3.3,0
TKT-000069,CUS-03336,Integration Issue,Medium,2024-05-21,18.3,0,4.6,0
TKT-000070,CUS-02266,Integration Issue,Low,2022-02-12,119.5,1,3.4,1
TKT-000071,CUS-04431,Performance,High,2025-01-29,13.9,1,4.6,0
TKT-000072,CUS-06495,Technical Bug,High,2022-04-17,3.3,0,3.6,0
TKT-000073,CUS-07326,Technical Bug,Low,2022-09-18,103.2,1,2.0,0
TKT-000074,CUS-06277,Onboarding,Low,2022-10-01,67.3,0,5.0,0
TKT-000075,CUS-07520,Billing,Medium,2022-12-07,37.9,1,2.9,1
TKT-000076,CUS-07397,Account Access,Medium,2022-02-09,50.2,1,1.6,1
TKT-000077,CUS-01734,Performance,Low,2025-03-27,74.8,1,3.5,0
TKT-000078,CUS-06143,Onboarding,High,2025-08-21,4.3,0,4.6,0
TKT-000079,CUS-06487,Reporting,Low,2023-10-28,48.8,0,3.7,0
TKT-000080,CUS-09150,Onboarding,Medium,2022-08-10,34.5,1,1.5,0
TKT-000081,CUS-09378,Account Access,Medium,2025-05-23,28.9,1,1.6,1
TKT-000082,CUS-03727,Billing,High,2023-08-25,20.3,1,2.8,1
TKT-000083,CUS-01657,Integration Issue,High,2025-06-11,4.7,0,5.0,0
TKT-000084,CUS-08260,Reporting,Medium,2024-10-02,44.8,1,1.5,1
TKT-000085,CUS-02522,Onboarding,Low,2023-06-24,116.3,1,3.6,1
TKT-000086,CUS-07959,Billing,Medium,2023-11-16,50.2,1,3.6,0
TKT-000087,CUS-05339,Feature Request,Critical,2024-05-28,5.7,1,2.9,1
TKT-000088,CUS-04887,Billing,Low,2024-08-03,106.5,1,2.5,0
TKT-000089,CUS-09972,Reporting,Low,2024-04-02,108.8,1,3.6,0
TKT-000090,CUS-06602,Feature Request,Low,2025-07-09,64.3,0,3.4,0
TKT-000091,CUS-02193,Reporting,High,2025-08-19,5.4,0,3.6,0
TKT-000092,CUS-06688,Billing,Low,2023-01-14,193.9,1,1.8,0
TKT-000093,CUS-05754,Performance,Low,2022-09-23,65.3,0,3.9,0
TKT-000094,CUS-06836,Technical Bug,Medium,2024-11-10,11.6,0,4.1,0
TKT-000095,CUS-05716,Account Access,Low,2023-12-18,105.2,1,2.5,1
TKT-000096,CUS-02485,Performance,Medium,2025-08-18,25.7,1,3.9,0
TKT-000097,CUS-08575,Integration Issue,High,2022-03-29,13.0,1,2.6,0
TKT-000098,CUS-07744,Technical Bug,Low,2022-03-19,68.1,0,3.7,0
TKT-000099,CUS-08883,Integration Issue,Medium,2024-07-18,41.5,1,2.4,0
TKT-000100,CUS-03136,Performance,Medium,2025-12-21,1.1,0,4.0,0
TKT-000101,CUS-02265,Technical Bug,Low,2022-12-10,43.8,0,4.6,0
TKT-000102,CUS-02503,Feature Request,Low,2024-05-09,68.6,0,4.2,0
TKT-000103,CUS-04123,Onboarding,High,2024-05-08,11.2,1,2.4,1
TKT-000104,CUS-04098,Technical Bug,Medium,2024-10-25,39.6,1,2.6,1
TKT-000105,CUS-00768,Feature Request,Medium,2022-12-10,11.7,0,3.6,0
TKT-000106,CUS-04418,Integration Issue,Medium,2024-10-10,20.0,0,3.6,0
TKT-000107,CUS-09857,Account Access,High,2024-08-18,10.9,1,4.3,1
TKT-000108,CUS-00559,Technical Bug,Medium,2023-07-08,38.0,1,2.7,1
TKT-000109,CUS-04649,Billing,Low,2025-06-09,89.4,1,2.7,0
TKT-000110,CUS-06669,Reporting,Medium,2022-12-19,14.3,0,5.0,0
TKT-000111,CUS-00245,Onboarding,Low,2024-10-08,79.4,1,2.5,0
TKT-000112,CUS-06669,Onboarding,Low,2023-11-11,93.0,1,3.1,1
TKT-000113,CUS-07101,Performance,High,2023-09-28,17.6,1,2.2,1
TKT-000114,CUS-04834,Feature Request,High,2023-04-26,13.7,1,1.3,0
TKT-000115,CUS-04015,Reporting,Low,2024-12-05,52.4,0,4.7,0
TKT-000116,CUS-01550,Integration Issue,Low,2025-04-04,116.1,1,3.3,0
TKT-000117,CUS-05196,Account Access,Critical,2024-05-05,4.0,0,5.0,0
TKT-000118,CUS-07885,Onboarding,Medium,2025-05-15,26.7,1,3.1,0
TKT-000119,CUS-02376,Performance,Medium,2025-06-07,11.8,0,3.6,0
TKT-000120,CUS-04557,Feature Request,Medium,2023-10-01,28.0,1,3.0,1
TKT-000121,CUS-00766,Performance,Critical,2023-10-30,3.4,0,4.7,0
TKT-000122,CUS-00137,Integration Issue,High,2023-01-20,8.1,1,2.2,1
TKT-000123,CUS-09065,Reporting,Medium,2024-02-25,17.8,0,3.7,0
TKT-000124,CUS-04596,Integration Issue,Medium,2024-01-17,0.2,0,3.9,0
TKT-000125,CUS-01667,Account Access,Medium,2024-05-31,30.6,1,2.3,0
TKT-000126,CUS-00351,Technical Bug,Critical,2023-02-18,5.4,1,4.6,0
TKT-000127,CUS-06388,Technical Bug,Critical,2022-02-24,7.7,1,3.1,1
TKT-000128,CUS-02064,Account Access,Medium,2022-07-28,34.6,1,2.2,1
TKT-000129,CUS-09317,Onboarding,Low,2022-05-06,86.8,1,3.9,1
TKT-000130,CUS-08684,Billing,Low,2024-08-18,43.2,0,4.3,0
TKT-000131,CUS-03461,Account Access,Medium,2024-10-25,73.4,1,3.5,1
TKT-000132,CUS-09825,Technical Bug,Low,2022-03-11,45.5,0,4.3,0
TKT-000133,CUS-09189,Onboarding,Medium,2024-09-02,29.0,1,2.9,0
TKT-000134,CUS-05862,Integration Issue,Medium,2025-12-28,56.7,1,2.8,0
TKT-000135,CUS-00688,Performance,Medium,2022-11-27,16.9,0,4.2,0
TKT-000136,CUS-02364,Integration Issue,Medium,2023-08-17,7.2,0,3.9,0
TKT-000137,CUS-07606,Onboarding,High,2022-09-14,6.4,0,3.3,0
TKT-000138,CUS-01884,Billing,Medium,2023-12-15,27.8,1,2.6,1
TKT-000139,CUS-04389,Account Access,Low,2025-02-14,150.1,1,2.4,1
TKT-000140,CUS-09206,Onboarding,Low,2023-10-10,101.2,1,4.0,0
TKT-000141,CUS-04065,Feature Request,Low,2023-01-11,3.2,0,3.7,0
TKT-000142,CUS-05019,Technical Bug,Low,2024-06-17,0.6,0,3.5,0
TKT-000143,CUS-08330,Billing,Low,2022-11-01,53.8,0,4.3,0
TKT-000144,CUS-03032,Integration Issue,Medium,2024-03-24,31.8,1,2.5,0
TKT-000145,CUS-08464,Account Access,Medium,2024-01-29,27.9,1,3.3,0
TKT-000146,CUS-01817,Account Access,High,2024-04-20,9.6,1,1.9,1
TKT-000147,CUS-01949,Onboarding,Low,2025-12-01,148.1,1,3.7,1
TKT-000148,CUS-09649,Onboarding,High,2025-02-09,13.8,1,2.0,0
TKT-000149,CUS-02095,Onboarding,Medium,2022-08-30,17.0,0,3.5,0
TKT-000150,CUS-04738,Feature Request,Medium,2025-08-02,16.7,0,3.8,0
TKT-000151,CUS-05292,Feature Request,High,2022-04-01,16.4,1,3.0,0
TKT-000152,CUS-09928,Technical Bug,High,2023-08-25,8.1,1,3.8,0
TKT-000153,CUS-06186,Account Access,High,2023-07-02,4.2,0,4.7,0
TKT-000154,CUS-02632,Performance,Medium,2025-11-10,45.7,1,3.8,1
TKT-000155,CUS-07344,Feature Request,Low,2025-05-10,79.0,1,2.9,0
TKT-000156,CUS-03999,Performance,Low,2025-04-13,82.5,1,3.2,1
TKT-000157,CUS-05283,Feature Request,Medium,2022-01-17,31.4,1,4.2,1
TKT-000158,CUS-07912,Integration Issue,Critical,2025-08-08,3.9,0,4.3,0
TKT-000159,CUS-04442,Billing,High,2024-04-30,15.1,1,2.7,1
TKT-000160,CUS-04839,Technical Bug,Medium,2024-05-23,56.9,1,3.0,0
TKT-000161,CUS-04620,Integration Issue,Medium,2025-07-29,46.7,1,2.7,1
TKT-000162,CUS-08046,Technical Bug,Low,2023-06-20,85.8,1,2.2,0
TKT-000163,CUS-09149,Billing,Medium,2025-02-09,3.9,0,4.7,0
TKT-000164,CUS-04339,Account Access,Low,2022-12-11,67.1,0,4.0,0
TKT-000165,CUS-07943,Onboarding,Low,2023-05-01,43.2,0,4.7,0
TKT-000166,CUS-09320,Integration Issue,Medium,2022-04-16,23.3,0,3.0,0
TKT-000167,CUS-00247,Performance,Medium,2022-01-03,60.1,1,3.9,1
TKT-000168,CUS-03478,Account Access,Medium,2024-01-15,0.5,0,4.2,0
TKT-000169,CUS-00480,Technical Bug,Medium,2022-10-15,2.5,0,4.4,0
TKT-000170,CUS-04829,Feature Request,Critical,2025-01-24,6.9,1,2.4,0
TKT-000171,CUS-02289,Integration Issue,High,2025-03-22,23.2,1,1.5,1
TKT-000172,CUS-08118,Billing,Low,2022-03-20,116.2,1,3.5,0
TKT-000173,CUS-04142,Billing,Medium,2025-09-30,20.3,0,4.4,0
TKT-000174,CUS-00990,Feature Request,High,2023-06-28,8.7,1,2.2,0
TKT-000175,CUS-04713,Onboarding,Medium,2024-03-07,26.7,1,2.1,0
TKT-000176,CUS-08668,Billing,Medium,2022-10-02,17.1,0,2.9,0
TKT-000177,CUS-06915,Account Access,Low,2022-01-01,106.7,1,3.9,0
TKT-000178,CUS-07490,Technical Bug,Medium,2024-02-06,6.9,0,3.5,0
TKT-000179,CUS-02108,Reporting,Medium,2025-05-30,5.4,0,4.5,0
TKT-000180,CUS-03656,Onboarding,High,2025-07-23,20.6,1,3.2,0
TKT-000181,CUS-03952,Account Access,Medium,2025-04-02,3.2,0,4.3,0
TKT-000182,CUS-01445,Billing,Medium,2025-07-23,35.9,1,2.7,0
TKT-000183,CUS-08437,Onboarding,High,2022-10-28,14.6,1,2.8,0
TKT-000184,CUS-08853,Billing,Low,2024-04-29,133.1,1,2.9,0
TKT-000185,CUS-09632,Account Access,Medium,2025-06-29,46.5,1,3.2,1
TKT-000186,CUS-05202,Onboarding,Low,2024-01-06,128.6,1,3.2,1
TKT-000187,CUS-09770,Technical Bug,Low,2025-07-06,108.9,1,2.6,0
TKT-000188,CUS-02011,Reporting,Medium,2023-07-09,32.1,1,2.4,1
TKT-000189,CUS-04221,Feature Request,Medium,2025-01-18,46.1,1,2.9,0
TKT-000190,CUS-03393,Reporting,High,2024-07-29,7.4,0,3.9,0
TKT-000191,CUS-02061,Feature Request,High,2025-08-06,11.2,1,1.6,0
TKT-000192,CUS-07654,Integration Issue,Medium,2024-08-19,22.0,0,3.4,0
TKT-000193,CUS-05047,Performance,High,2023-02-18,11.8,1,2.4,0
TKT-000194,CUS-09970,Account Access,High,2025-02-25,5.3,0,2.6,0
TKT-000195,CUS-04208,Performance,Medium,2023-02-09,4.4,0,4.8,0
TKT-000196,CUS-09102,Feature Request,High,2024-04-26,15.9,1,2.6,0
TKT-000197,CUS-02732,Technical Bug,Critical,2023-12-10,3.0,0,3.9,0
TKT-000198,CUS-00680,Billing,Low,2024-09-01,108.5,1,2.6,0
TKT-000199,CUS-04672,Billing,High,2024-02-09,11.3,1,3.7,1
TKT-000200,CUS-02648,Account Access,Low,2025-12-07,140.1,1,2.7,1
TKT-000201,CUS-08240,Performance,Medium,2025-11-06,53.2,1,3.3,0
TKT-000202,CUS-05491,Onboarding,Low,2025-05-15,32.6,0,4.3,0
TKT-000203,CUS-08035,Integration Issue,Medium,2025-05-29,32.3,1,1.3,1
TKT-000204,CUS-08264,Technical Bug,Low,2025-02-08,127.7,1,1.6,0
TKT-000205,CUS-08237,Billing,Low,2024-09-30,67.2,0,3.9,0
TKT-000206,CUS-00533,Technical Bug,Medium,2023-10-11,39.8,1,3.0,1
TKT-000207,CUS-09476,Reporting,Medium,2022-01-11,25.2,1,1.6,1
TKT-000208,CUS-06816,Account Access,Low,2025-03-16,133.1,1,3.2,1
TKT-000209,CUS-07496,Technical Bug,Critical,2022-05-28,8.3,1,2.6,1
TKT-000210,CUS-06686,Technical Bug,Medium,2023-07-29,30.4,1,2.7,0
TKT-000211,CUS-00524,Onboarding,Low,2025-06-01,68.1,0,5.0,0
TKT-000212,CUS-05268,Account Access,High,2023-07-03,13.1,1,2.5,0
TKT-000213,CUS-02515,Billing,Medium,2024-07-31,9.5,0,4.7,0
TKT-000214,CUS-00270,Onboarding,Critical,2025-03-06,5.1,1,3.1,1
TKT-000215,CUS-01721,Reporting,Low,2022-08-04,99.4,1,3.6,0
TKT-000216,CUS-05269,Feature Request,High,2024-05-30,0.1,0,4.5,0
TKT-000217,CUS-08188,Onboarding,Low,2024-12-07,107.2,1,3.7,0
TKT-000218,CUS-00709,Feature Request,High,2025-09-19,14.3,1,3.3,1
TKT-000219,CUS-02330,Billing,High,2023-12-21,7.0,0,3.1,0
TKT-000220,CUS-03823,Integration Issue,High,2024-08-28,8.2,1,2.7,1
TKT-000221,CUS-06327,Reporting,Low,2024-10-27,85.7,1,2.5,1
TKT-000222,CUS-01269,Feature Request,Medium,2022-10-22,36.6,1,2.8,1
TKT-000223,CUS-05828,Feature Request,Medium,2025-03-24,33.6,1,2.2,0
TKT-000224,CUS-03603,Account Access,High,2022-04-09,4.3,0,3.6,0
TKT-000225,CUS-09208,Integration Issue,Medium,2024-06-20,22.1,0,3.3,0
TKT-000226,CUS-05461,Account Access,High,2024-07-26,7.7,0,3.7,0
TKT-000227,CUS-03928,Billing,High,2024-11-28,0.0,0,4.2,0
TKT-000228,CUS-09351,Onboarding,Low,2023-05-05,36.5,0,4.7,0
TKT-000229,CUS-02404,Onboarding,High,2024-04-09,17.1,1,2.6,0
TKT-000230,CUS-01767,Billing,Critical,2024-03-20,1.6,0,4.2,0
TKT-000231,CUS-09130,Integration Issue,Low,2025-10-08,16.3,0,3.4,0
TKT-000232,CUS-08770,Feature Request,High,2022-10-22,5.0,0,2.8,0
TKT-000233,CUS-00462,Account Access,Critical,2025-10-16,1.9,0,4.1,0
TKT-000234,CUS-01319,Performance,Medium,2023-01-12,55.6,1,3.7,0
TKT-000235,CUS-02093,Onboarding,Low,2022-05-13,113.5,1,2.5,1
TKT-000236,CUS-03815,Reporting,Low,2025-12-27,127.1,1,2.2,0
TKT-000237,CUS-03241,Feature Request,High,2025-10-09,15.3,1,3.0,1
TKT-000238,CUS-03197,Performance,High,2025-01-30,8.1,1,3.4,1
TKT-000239,CUS-00339,Technical Bug,High,2024-08-10,15.2,1,3.9,0
TKT-000240,CUS-01863,Onboarding,Medium,2022-01-14,51.5,1,3.4,0
TKT-000241,CUS-09573,Performance,Low,2024-06-12,111.8,1,3.6,0
TKT-000242,CUS-08552,Technical Bug,Low,2023-08-18,97.0,1,2.4,1
TKT-000243,CUS-07998,Reporting,Medium,2024-09-23,31.4,1,3.6,1
TKT-000244,CUS-03252,Onboarding,Low,2024-12-28,115.3,1,2.1,1
TKT-000245,CUS-09851,Technical Bug,High,2022-04-09,17.5,1,3.0,0
TKT-000246,CUS-08316,Account Access,High,2023-06-23,9.1,1,2.2,0
TKT-000247,CUS-02826,Technical Bug,Medium,2025-04-04,36.7,1,3.1,1
TKT-000248,CUS-01900,Technical Bug,Medium,2023-11-20,24.7,1,1.9,1
TKT-000249,CUS-09444,Onboarding,Medium,2023-08-04,26.3,1,1.0,0
TKT-000250,CUS-06551,Billing,Medium,2022-05-21,34.3,1,4.5,1
TKT-000251,CUS-04169,Integration Issue,Low,2024-01-12,47.9,0,4.6,0
TKT-000252,CUS-04145,Onboarding,Critical,2024-01-17,1.9,0,2.9,0
TKT-000253,CUS-08551,Technical Bug,Medium,2022-10-25,35.9,1,2.3,0
TKT-000254,CUS-05559,Technical Bug,Medium,2022-05-11,25.6,1,3.7,1
TKT-000255,CUS-02520,Performance,High,2025-12-30,11.6,1,2.9,1
TKT-000256,CUS-00779,Onboarding,High,2023-03-28,11.6,1,2.6,0
TKT-000257,CUS-05496,Reporting,Low,2024-06-30,19.0,0,2.6,0
TKT-000258,CUS-08338,Technical Bug,Low,2025-05-08,146.5,1,3.1,0
TKT-000259,CUS-03273,Performance,Medium,2022-06-06,2.9,0,3.5,0
TKT-000260,CUS-01537,Account Access,Low,2025-02-28,48.2,0,4.7,0
TKT-000261,CUS-06736,Technical Bug,High,2024-08-27,12.1,1,2.9,1
TKT-000262,CUS-01133,Feature Request,Medium,2022-11-07,43.9,1,2.6,1
TKT-000263,CUS-05598,Account Access,Medium,2025-10-21,64.6,1,4.0,1
TKT-000264,CUS-00847,Account Access,Low,2025-05-21,141.9,1,3.6,0
TKT-000265,CUS-04048,Billing,Low,2024-09-02,1.0,0,4.9,0
TKT-000266,CUS-07872,Reporting,High,2022-04-07,13.6,1,2.1,1
TKT-000267,CUS-04207,Integration Issue,Medium,2022-02-13,37.6,1,2.3,0
TKT-000268,CUS-01193,Account Access,Low,2025-09-16,61.7,0,4.2,0
TKT-000269,CUS-00713,Billing,High,2023-05-10,2.2,0,4.7,0
TKT-000270,CUS-07695,Account Access,Medium,2025-07-06,31.5,1,3.1,0
TKT-000271,CUS-06462,Reporting,Low,2022-10-13,110.2,1,2.8,1
TKT-000272,CUS-07571,Feature Request,Medium,2024-07-17,24.4,1,3.4,1
TKT-000273,CUS-00454,Technical Bug,Medium,2023-08-09,39.2,1,2.4,1
TKT-000274,CUS-00705,Onboarding,Medium,2023-04-09,29.9,1,3.0,1
TKT-000275,CUS-05974,Reporting,Medium,2024-10-03,18.3,0,5.0,0
TKT-000276,CUS-08060,Onboarding,Low,2023-05-06,71.2,0,3.8,0
TKT-000277,CUS-00312,Technical Bug,Medium,2025-05-17,7.2,0,4.1,0
TKT-000278,CUS-08464,Performance,Low,2023-10-12,45.0,0,4.6,0
TKT-000279,CUS-03326,Reporting,High,2025-01-10,5.6,0,4.4,0
TKT-000280,CUS-03058,Reporting,Medium,2022-05-28,23.4,0,4.0,0
TKT-000281,CUS-02178,Integration Issue,Low,2022-09-15,100.3,1,2.7,0
TKT-000282,CUS-03402,Feature Request,Medium,2023-05-11,10.1,0,4.0,0
TKT-000283,CUS-07074,Reporting,Medium,2024-12-11,17.5,0,3.4,0
TKT-000284,CUS-06192,Billing,High,2025-07-18,5.8,0,4.2,0
TKT-000285,CUS-06862,Account Access,Medium,2025-02-26,43.1,1,3.0,1
TKT-000286,CUS-05639,Technical Bug,High,2022-12-19,8.3,1,3.6,0
TKT-000287,CUS-00675,Billing,Medium,2024-10-01,38.2,1,4.1,0
TKT-000288,CUS-05786,Feature Request,Medium,2022-02-27,11.3,0,3.5,0
TKT-000289,CUS-05211,Technical Bug,Low,2024-02-09,62.6,0,3.9,0
TKT-000290,CUS-07359,Technical Bug,Critical,2025-06-15,10.0,1,3.4,0
TKT-000291,CUS-01002,Feature Request,Medium,2025-07-20,17.4,0,4.2,0
TKT-000292,CUS-02322,Feature Request,High,2024-01-19,11.0,1,2.4,1
TKT-000293,CUS-02068,Reporting,Low,2023-11-13,27.4,0,2.9,0
TKT-000294,CUS-07515,Integration Issue,Critical,2024-10-25,0.8,0,3.8,0
TKT-000295,CUS-08855,Account Access,Critical,2022-01-13,6.0,1,2.1,0
TKT-000296,CUS-09774,Technical Bug,Medium,2022-04-26,17.8,0,3.6,0
TKT-000297,CUS-06632,Technical Bug,Critical,2022-04-01,6.3,1,2.8,1
TKT-000298,CUS-01312,Performance,Medium,2023-09-12,11.5,0,4.0,0
TKT-000299,CUS-05060,Feature Request,Medium,2024-01-12,24.3,1,3.4,1
TKT-000300,CUS-05645,Integration Issue,Low,2022-10-21,87.2,1,2.4,0
TKT-000301,CUS-08502,Account Access,High,2023-12-07,21.4,1,4.2,0
TKT-000302,CUS-03140,Integration Issue,Low,2025-09-20,95.9,1,3.4,1
TKT-000303,CUS-07002,Feature Request,Low,2024-03-22,178.8,1,4.2,0
TKT-000304,CUS-00030,Onboarding,Low,2025-03-31,132.4,1,2.9,0
TKT-000305,CUS-06915,Billing,Low,2022-03-03,89.6,1,1.5,1
TKT-000306,CUS-03597,Technical Bug,Medium,2024-06-18,33.4,1,2.7,1
TKT-000307,CUS-04872,Onboarding,Medium,2022-12-27,53.3,1,2.8,1
TKT-000308,CUS-07743,Reporting,High,2023-10-05,1.5,0,3.6,0
TKT-000309,CUS-07684,Integration Issue,Medium,2024-05-15,13.7,0,3.3,0
TKT-000310,CUS-08514,Billing,Low,2025-04-14,82.6,1,2.2,0
TKT-000311,CUS-06085,Billing,Medium,2025-02-16,8.9,0,4.4,0
TKT-000312,CUS-02920,Technical Bug,Medium,2024-06-08,32.5,1,3.2,0
TKT-000313,CUS-03605,Reporting,Medium,2024-11-22,19.8,0,4.5,0
TKT-000314,CUS-07502,Reporting,High,2023-04-15,17.2,1,2.2,0
TKT-000315,CUS-02447,Integration Issue,Low,2023-03-12,79.7,1,5.0,1
TKT-000316,CUS-09178,Integration Issue,High,2025-06-05,8.9,1,3.5,1
TKT-000317,CUS-07190,Technical Bug,Low,2022-12-29,21.7,0,3.9,0
TKT-000318,CUS-06184,Reporting,Medium,2022-10-24,34.3,1,1.5,1
TKT-000319,CUS-09046,Billing,Low,2024-11-08,90.1,1,3.7,0
TKT-000320,CUS-02115,Onboarding,High,2024-04-13,7.6,0,4.9,0
TKT-000321,CUS-03376,Technical Bug,Low,2025-04-12,138.8,1,3.6,0
TKT-000322,CUS-04639,Performance,Medium,2022-08-19,29.3,1,3.8,1
TKT-000323,CUS-04655,Performance,Low,2023-07-31,51.6,0,4.9,0
TKT-000324,CUS-00684,Integration Issue,Low,2024-01-20,168.3,1,4.2,0
TKT-000325,CUS-02008,Account Access,Low,2024-04-22,65.9,0,4.4,0
TKT-000326,CUS-05458,Integration Issue,High,2022-04-07,6.3,0,4.6,0
TKT-000327,CUS-01044,Technical Bug,Low,2025-09-10,137.9,1,2.4,0
TKT-000328,CUS-05616,Onboarding,Medium,2024-07-18,11.2,0,4.4,0
TKT-000329,CUS-03315,Technical Bug,Medium,2025-05-29,41.5,1,2.3,1
TKT-000330,CUS-06898,Reporting,Low,2022-02-20,122.3,1,2.6,1
TKT-000331,CUS-09970,Account Access,Medium,2025-03-13,36.2,1,3.0,1
TKT-000332,CUS-03514,Onboarding,Low,2025-07-11,5.0,0,3.6,0
