subscription_id,customer_id,subscription_start_date,renewal_date,MRR,ARR,renewal_status,churn_flag,expansion_revenue,contract_length_months
SUB-000034,CUS-00021,2025-02-04,2027-01-25,6124.5,73494,Active,0,0.0,24
SUB-000035,CUS-00022,2025-01-21,2026-01-16,619.17,7430,Active,0,0.0,12
SUB-000036,CUS-00022,2026-01-17,2029-01-01,619.17,7430,Active,0,0.0,36
SUB-000037,CUS-00023,2024-05-09,2026-04-29,2349.58,28195,Active,0,0.0,24
SUB-000038,CUS-00023,2026-05-01,2027-04-26,2349.58,28195,Active,0,0.0,12
SUB-000039,CUS-00024,2023-03-28,2024-03-22,4009.42,48113,Churned,1,0.0,12
SUB-000040,CUS-00024,2024-03-25,2026-03-15,4009.42,48113,Active,0,0.0,24
SUB-000041,CUS-00025,2024-07-08,2026-06-28,4120.42,49445,Active,0,1751.34,24
SUB-000042,CUS-00026,2025-04-21,2028-04-05,7845.75,94149,Active,0,0.0,36
SUB-000043,CUS-00026,2028-04-17,2031-04-02,7845.75,94149,Active,0,0.0,36
SUB-000044,CUS-00027,2023-07-24,2026-07-08,888.5,10662,Active,0,0.0,36
SUB-000045,CUS-00028,2022-01-14,2024-12-29,2048.67,24584,Active,0,0.0,36
SUB-000046,CUS-00029,2022-11-23,2024-11-12,4580.42,54965,Churned,1,0.0,24
SUB-000047,CUS-00030,2024-05-15,2027-04-30,1558.33,18700,Active,0,0.0,36
SUB-000048,CUS-00031,2023-11-28,2026-11-12,3696.5,44358,Active,0,1033.63,36
SUB-000049,CUS-00031,2026-11-15,2029-10-30,3696.5,44358,Active,0,0.0,36
SUB-000050,CUS-00031,2029-11-07,2030-11-02,3696.5,44358,Active,0,1266.1,12
SUB-000051,CUS-00032,2023-07-24,2024-07-18,438.33,5260,Active,0,0.0,12
SUB-000052,CUS-00032,2024-07-27,2026-07-17,438.33,5260,Active,0,0.0,24
SUB-000053,CUS-00032,2026-07-31,2029-07-15,438.33,5260,Active,0,165.6,36
SUB-000054,CUS-00033,2022-11-15,2023-11-10,1562.75,18753,Churned,1,0.0,12
SUB-000055,CUS-00034,2023-03-17,2026-03-01,31432.25,377187,Active,0,0.0,36
SUB-000056,CUS-00034,2026-03-03,2029-02-15,31432.25,377187,Active,0,0.0,36
SUB-000057,CUS-00035,2023-11-21,2026-11-05,21072.08,252865,Active,0,0.0,36
SUB-000058,CUS-00035,2026-11-19,2027-11-14,21072.08,252865,Active,0,3622.65,12
SUB-000059,CUS-00036,2022-07-29,2023-07-24,10582.58,126991,Renewed,0,0.0,12
SUB-000060,CUS-00036,2023-08-08,2024-08-02,10582.58,126991,Renewed,0,0.0,12
SUB-000061,CUS-00036,2024-08-06,2027-07-22,10582.58,126991,Active,0,0.0,36
SUB-000062,CUS-00037,2022-07-09,2023-07-04,3549.83,42598,Renewed,0,826.51,12
SUB-000063,CUS-00038,2024-02-18,2025-02-12,522.67,6272,Churned,1,0.0,12
SUB-000064,CUS-00038,2025-02-20,2026-02-15,522.67,6272,Active,0,0.0,12
SUB-000065,CUS-00038,2026-02-18,2027-02-13,522.67,6272,Active,0,0.0,12
SUB-000066,CUS-00039,2022-07-18,2023-07-13,6915.5,82986,At Risk,0,0.0,12
SUB-000067,CUS-00039,2023-07-15,2025-07-04,6915.5,82986,Renewed,0,0.0,24
SUB-000068,CUS-00040,2024-01-06,2024-12-31,3680.42,44165,Active,0,0.0,12
SUB-000069,CUS-00040,2025-01-14,2026-01-09,3680.42,44165,Active,0,0.0,12
SUB-000070,CUS-00041,2023-12-06,2024-11-30,626.08,7513,Renewed,0,0.0,12
SUB-000071,CUS-00042,2025-05-21,2026-05-16,2989.42,35873,Active,0,0.0,12
SUB-000072,CUS-00043,2023-06-26,2024-06-20,1372.17,16466,Churned,1,0.0,12
SUB-000073,CUS-00043,2024-06-23,2027-06-08,1372.17,16466,Active,0,0.0,36
SUB-000074,CUS-00044,2022-03-30,2023-03-25,13526.5,162318,At Risk,0,0.0,12
SUB-000075,CUS-00044,2023-03-27,2025-03-16,13526.5,162318,Active,0,4765.91,24
SUB-000076,CUS-00045,2024-07-29,2025-07-24,2403.42,28841,Active,0,886.55,12
SUB-000077,CUS-00046,2025-01-03,2027-12-19,9132.5,109590,Active,0,0.0,36
SUB-000078,CUS-00047,2022-09-13,2023-09-08,1446.42,17357,Active,0,0.0,12
SUB-000079,CUS-00048,2024-02-15,2025-02-09,2250.08,27001,Renewed,0,0.0,12
SUB-000080,CUS-00049,2022-06-11,2025-05-26,3903.67,46844,Active,0,0.0,36
SUB-000081,CUS-00050,2025-02-04,2028-01-20,651.25,7815,Active,0,0.0,36
SUB-000082,CUS-00050,2028-02-04,2029-01-29,651.25,7815,Active,0,0.0,12
SUB-000083,CUS-00050,2029-02-01,2030-01-27,651.25,7815,Active,0,0.0,12
SUB-000084,CUS-00051,2023-08-24,2024-08-18,18587.83,223054,Renewed,0,5344.93,12
SUB-000085,CUS-00052,2025-06-20,2027-06-10,12379.67,148556,Active,0,0.0,24
SUB-000086,CUS-00053,2024-01-11,2025-01-05,36510.33,438124,Renewed,0,7466.88,12
SUB-000087,CUS-00054,2025-03-28,2027-03-18,30505.92,366071,Active,0,0.0,24
SUB-000088,CUS-00054,2027-03-24,2028-03-18,30505.92,366071,Active,0,0.0,12
SUB-000089,CUS-00055,2023-01-29,2024-01-24,8051.25,96615,Active,0,0.0,12
SUB-000090,CUS-00056,2022-05-23,2024-05-12,44787.0,537444,Renewed,0,0.0,24
SUB-000091,CUS-00056,2024-05-25,2025-05-20,44787.0,537444,Active,0,0.0,12
SUB-000092,CUS-00057,2022-04-04,2023-03-30,923.83,11086,Renewed,0,0.0,12
SUB-000093,CUS-00058,2023-04-12,2026-03-27,1044.58,12535,Active,0,0.0,36
SUB-000094,CUS-00059,2023-08-16,2024-08-10,653.92,7847,Renewed,0,0.0,12
SUB-000095,CUS-00060,2022-06-13,2024-06-02,1384.42,16613,Churned,1,0.0,24
SUB-000096,CUS-00060,2024-06-06,2025-06-01,1384.42,16613,At Risk,0,0.0,12
SUB-000097,CUS-00061,2023-04-22,2024-04-16,3366.92,40403,Renewed,0,0.0,12
SUB-000098,CUS-00062,2022-07-26,2025-07-10,3981.5,47778,Churned,1,0.0,36
SUB-000099,CUS-00063,2024-02-18,2025-02-12,7703.42,92441,Renewed,0,0.0,12
SUB-000100,CUS-00064,2023-07-24,2024-07-18,3695.25,44343,Active,0,0.0,12
SUB-000101,CUS-00065,2024-07-17,2027-07-02,2408.5,28902,Active,0,0.0,36
SUB-000102,CUS-00066,2024-01-18,2027-01-02,2623.75,31485,Active,0,0.0,36
SUB-000103,CUS-00066,2027-01-17,2030-01-01,2623.75,31485,Active,0,0.0,36
SUB-000104,CUS-00066,2030-01-13,2031-01-08,2623.75,31485,Active,0,0.0,12
SUB-000105,CUS-00067,2022-11-30,2023-11-25,1538.83,18466,Renewed,0,0.0,12
SUB-000106,CUS-00067,2023-12-04,2025-11-23,1538.83,18466,Churned,1,0.0,24
SUB-000107,CUS-00068,2024-01-29,2025-01-23,7525.0,90300,At Risk,0,0.0,12
SUB-000108,CUS-00069,2023-12-29,2024-12-23,737.08,8845,Renewed,0,0.0,12
SUB-000109,CUS-00069,2024-12-30,2025-12-25,737.08,8845,Renewed,0,0.0,12
SUB-000110,CUS-00070,2023-03-06,2025-02-23,16240.83,194890,Active,0,0.0,24
SUB-000111,CUS-00071,2023-07-01,2024-06-25,10609.92,127319,Churned,1,0.0,12
SUB-000112,CUS-00071,2024-07-06,2025-07-01,10609.92,127319,Churned,1,0.0,12
SUB-000113,CUS-00072,2022-05-27,2023-05-22,650.0,7800,Churned,1,0.0,12
SUB-000114,CUS-00073,2025-06-01,2026-05-27,877.42,10529,Active,0,0.0,12
SUB-000115,CUS-00074,2022-12-17,2025-12-01,7463.33,89560,Renewed,0,3069.8,36
SUB-000116,CUS-00074,2025-12-03,2027-11-23,7463.33,89560,Active,0,0.0,24
SUB-000117,CUS-00074,2027-12-07,2029-11-26,7463.33,89560,Active,0,3678.55,24
SUB-000118,CUS-00075,2024-12-29,2025-12-24,7129.5,85554,Active,0,0.0,12
SUB-000119,CUS-00076,2023-05-17,2024-05-11,7996.92,95963,Renewed,0,3322.43,12
SUB-000120,CUS-00077,2022-12-01,2023-11-26,8215.0,98580,Renewed,0,0.0,12
SUB-000121,CUS-00078,2024-08-04,2025-07-30,1257.75,15093,Renewed,0,0.0,12
SUB-000122,CUS-00079,2024-02-17,2026-02-06,4610.83,55330,Active,0,0.0,24
SUB-000123,CUS-00079,2026-02-11,2028-02-01,4610.83,55330,Active,0,0.0,24
SUB-000124,CUS-00079,2028-02-14,2029-02-08,4610.83,55330,Active,0,0.0,12
SUB-000125,CUS-00080,2023-07-07,2024-07-01,1046.5,12558,Renewed,0,0.0,12
SUB-000126,CUS-00080,2024-07-14,2025-07-09,1046.5,12558,Active,0,0.0,12
SUB-000127,CUS-00081,2025-02-14,2028-01-30,48767.5,585210,Active,0,0.0,36
SUB-000128,CUS-00082,2023-03-26,2024-03-20,11237.0,134844,Active,0,5494.79,12
SUB-000129,CUS-00082,2024-03-28,2027-03-13,11237.0,134844,Active,0,0.0,36
SUB-000130,CUS-00083,2023-10-27,2024-10-21,3220.25,38643,Renewed,0,0.0,12
SUB-000131,CUS-00084,2022-04-25,2023-04-20,1386.75,16641,Churned,1,0.0,12
SUB-000132,CUS-00085,2023-04-15,2024-04-09,1713.17,20558,Active,0,531.91,12
SUB-000133,CUS-00086,2022-03-07,2023-03-02,2131.42,25577,Renewed,0,0.0,12
SUB-000134,CUS-00086,2023-03-06,2024-02-29,2131.42,25577,Renewed,0,724.56,12
SUB-000135,CUS-00087,2023-10-09,2025-09-28,6252.25,75027,Renewed,0,0.0,24
SUB-000136,CUS-00087,2025-10-07,2026-10-02,6252.25,75027,Active,0,0.0,12
SUB-000137,CUS-00088,2024-04-01,2025-03-27,7499.08,89989,Renewed,0,0.0,12
SUB-000138,CUS-00089,2023-07-03,2025-06-22,39729.08,476749,At Risk,0,0.0,24
SUB-000139,CUS-00090,2022-05-16,2023-05-11,1833.17,21998,Renewed,0,0.0,12
SUB-000140,CUS-00090,2023-05-23,2024-05-17,1833.17,21998,At Risk,0,0.0,12
SUB-000141,CUS-00090,2024-05-30,2025-05-25,1833.17,21998,Renewed,0,0.0,12
SUB-000142,CUS-00091,2023-03-09,2026-02-21,993.67,11924,Active,0,0.0,36
SUB-000143,CUS-00092,2025-03-07,2027-02-25,6785.5,81426,Active,0,0.0,24
SUB-000144,CUS-00093,2023-10-07,2026-09-21,7380.17,88562,Active,0,0.0,36
SUB-000145,CUS-00094,2023-03-12,2024-03-06,8938.83,107266,Churned,1,0.0,12
SUB-000146,CUS-00094,2024-03-09,2025-03-04,8938.83,107266,Renewed,0,0.0,12
SUB-000147,CUS-00095,2024-10-19,2026-10-09,15009.75,180117,Active,0,0.0,24
SUB-000148,CUS-00095,2026-10-11,2029-09-25,15009.75,180117,Active,0,0.0,36
SUB-000149,CUS-00096,2024-03-21,2027-03-06,2110.67,25328,Active,0,0.0,36
SUB-000150,CUS-00097,2024-07-28,2025-07-23,2633.5,31602,Active,0,0.0,12
SUB-000151,CUS-00098,2022-10-20,2024-10-09,1857.0,22284,Churned,1,0.0,24
SUB-000152,CUS-00098,2024-10-14,2027-09-29,1857.0,22284,Active,0,0.0,36
SUB-000153,CUS-00099,2023-06-27,2025-06-16,647.25,7767,Renewed,0,0.0,24
SUB-000154,CUS-00100,2022-10-13,2023-10-08,569.58,6835,Churned,1,0.0,12
SUB-000155,CUS-00101,2023-05-21,2024-05-15,907.92,10895,Renewed,0,0.0,12
SUB-000156,CUS-00102,2025-02-23,2026-02-18,9670.92,116051,Active,0,0.0,12
SUB-000157,CUS-00102,2026-03-04,2029-02-16,9670.92,116051,Active,0,0.0,36
SUB-000158,CUS-00103,2025-01-08,2027-12-24,3444.58,41335,Active,0,0.0,36
SUB-000159,CUS-00104,2023-06-23,2024-06-17,2080.42,24965,Renewed,0,0.0,12
SUB-000160,CUS-00105,2025-04-12,2027-04-02,37330.08,447961,Active,0,0.0,24
SUB-000161,CUS-00105,2027-04-11,2029-03-31,37330.08,447961,Active,0,0.0,24
SUB-000162,CUS-00106,2024-05-27,2025-05-22,867.0,10404,Churned,1,0.0,12
SUB-000163,CUS-00107,2025-04-10,2027-03-31,2654.17,31850,Active,0,0.0,24
SUB-000164,CUS-00107,2027-04-04,2028-03-29,2654.17,31850,Active,0,0.0,12
SUB-000165,CUS-00107,2028-04-12,2029-04-07,2654.17,31850,Active,0,0.0,12
SUB-000166,CUS-00108,2024-03-28,2027-03-13,5396.58,64759,Active,0,0.0,36
SUB-000167,CUS-00108,2027-03-16,2028-03-10,5396.58,64759,Active,0,1133.32,12
SUB-000168,CUS-00108,2028-03-16,2030-03-06,5396.58,64759,Active,0,1090.43,24
SUB-000169,CUS-00109,2024-01-12,2025-01-06,879.25,10551,Churned,1,0.0,12
SUB-000170,CUS-00110,2023-03-26,2025-03-15,889.08,10669,Renewed,0,0.0,24
SUB-000171,CUS-00111,2022-10-11,2023-10-06,2806.5,33678,Active,0,0.0,12
SUB-000172,CUS-00112,2024-11-09,2026-10-30,958.58,11503,Active,0,0.0,24
SUB-000173,CUS-00113,2024-10-07,2026-09-27,39850.25,478203,Active,0,0.0,24
SUB-000174,CUS-00114,2022-07-06,2024-06-25,5674.33,68092,Renewed,0,0.0,24
SUB-000175,CUS-00115,2022-04-07,2023-04-02,7724.67,92696,At Risk,0,0.0,12
SUB-000176,CUS-00116,2022-08-13,2023-08-08,37432.42,449189,Renewed,0,0.0,12
SUB-000177,CUS-00117,2022-11-10,2023-11-05,7586.17,91034,Renewed,0,0.0,12
SUB-000178,CUS-00117,2023-11-11,2025-10-31,7586.17,91034,Renewed,0,0.0,24
SUB-000179,CUS-00118,2022-11-24,2023-11-19,1165.92,13991,At Risk,0,0.0,12
SUB-000180,CUS-00119,2024-05-14,2025-05-09,32252.08,387025,Renewed,0,0.0,12
SUB-000181,CUS-00119,2025-05-11,2026-05-06,32252.08,387025,Active,0,0.0,12
SUB-000182,CUS-00120,2025-05-06,2026-05-01,1366.33,16396,Active,0,322.75,12
SUB-000183,CUS-00121,2022-05-11,2024-04-30,11179.33,134152,Renewed,0,0.0,24
SUB-000184,CUS-00122,2024-02-28,2027-02-12,29995.08,359941,Active,0,10514.81,36
SUB-000185,CUS-00122,2027-02-20,2029-02-09,29995.08,359941,Active,0,0.0,24
SUB-000186,CUS-00122,2029-02-20,2030-02-15,29995.08,359941,Active,0,0.0,12
SUB-000187,CUS-00123,2024-02-21,2025-02-15,1457.83,17494,Renewed,0,323.06,12
SUB-000188,CUS-00123,2025-02-24,2026-02-19,1457.83,17494,Active,0,0.0,12
SUB-000189,CUS-00124,2025-05-05,2026-04-30,762.92,9155,Active,0,0.0,12
SUB-000190,CUS-00125,2024-08-16,2025-08-11,534.58,6415,Renewed,0,0.0,12
SUB-000191,CUS-00126,2024-12-19,2025-12-14,3525.17,42302,Renewed,0,1293.07,12
SUB-000192,CUS-00127,2023-05-30,2024-05-24,8229.42,98753,Renewed,0,0.0,12
SUB-000193,CUS-00128,2025-02-07,2028-01-23,22617.17,271406,Active,0,0.0,36
SUB-000194,CUS-00128,2028-02-04,2029-01-29,22617.17,271406,Active,0,0.0,12
SUB-000195,CUS-00128,2029-02-11,2030-02-06,22617.17,271406,Active,0,0.0,12
SUB-000196,CUS-00129,2022-01-24,2025-01-08,1106.83,13282,Renewed,0,0.0,36
SUB-000197,CUS-00129,2025-01-16,2026-01-11,1106.83,13282,Active,0,0.0,12
SUB-000198,CUS-00130,2022-08-23,2024-08-12,3179.83,38158,Renewed,0,0.0,24
SUB-000199,CUS-00131,2025-01-04,2026-12-25,2493.83,29926,Active,0,0.0,24
SUB-000200,CUS-00131,2027-01-04,2028-12-24,2493.83,29926,Active,0,0.0,24
SUB-000201,CUS-00132,2023-07-01,2024-06-25,538.83,6466,Renewed,0,0.0,12
SUB-000202,CUS-00133,2023-11-28,2026-11-12,620.5,7446,Active,0,0.0,36
SUB-000203,CUS-00134,2022-08-17,2024-08-06,2006.17,24074,Churned,1,0.0,24
SUB-000204,CUS-00135,2023-08-25,2024-08-19,40580.75,486969,Active,0,0.0,12
SUB-000205,CUS-00136,2024-06-09,2027-05-25,1503.83,18046,Active,0,0.0,36
SUB-000206,CUS-00137,2022-11-20,2023-11-15,2663.92,31967,Renewed,0,0.0,12
SUB-000207,CUS-00137,2023-11-20,2024-11-14,2663.92,31967,Active,0,0.0,12
SUB-000208,CUS-00138,2024-07-18,2027-07-03,7634.42,91613,Active,0,0.0,36
SUB-000209,CUS-00138,2027-07-17,2028-07-11,7634.42,91613,Active,0,0.0,12
SUB-000210,CUS-00139,2022-01-07,2023-01-02,3891.42,46697,Churned,1,0.0,12
SUB-000211,CUS-00140,2023-06-24,2024-06-18,33902.08,406825,Renewed,0,0.0,12
SUB-000212,CUS-00141,2024-10-22,2026-10-12,37688.08,452257,Active,0,0.0,24
SUB-000213,CUS-00142,2023-01-01,2023-12-27,2253.42,27041,Renewed,0,0.0,12
SUB-000214,CUS-00143,2024-11-05,2025-10-31,1760.33,21124,Renewed,0,0.0,12
SUB-000215,CUS-00144,2022-08-06,2024-07-26,2416.75,29001,Renewed,0,0.0,24
SUB-000216,CUS-00145,2023-09-04,2024-08-29,3554.92,42659,Renewed,0,0.0,12
SUB-000217,CUS-00146,2024-11-05,2027-10-21,1093.0,13116,Active,0,0.0,36
SUB-000218,CUS-00147,2025-06-01,2026-05-27,7167.5,86010,Active,0,0.0,12
SUB-000219,CUS-00147,2026-06-06,2027-06-01,7167.5,86010,Active,0,0.0,12
SUB-000220,CUS-00148,2023-02-12,2026-01-27,2003.83,24046,Active,0,919.41,36
SUB-000221,CUS-00149,2022-11-10,2023-11-05,575.67,6908,Active,0,0.0,12
SUB-000222,CUS-00149,2023-11-19,2024-11-13,575.67,6908,At Risk,0,0.0,12
SUB-000223,CUS-00150,2024-02-05,2025-01-30,2581.83,30982,At Risk,0,0.0,12
SUB-000224,CUS-00151,2022-11-27,2023-11-22,32779.83,393358,Renewed,0,0.0,12
SUB-000225,CUS-00152,2025-01-09,2026-01-04,1395.58,16747,Active,0,0.0,12
SUB-000226,CUS-00153,2024-12-22,2025-12-17,870.08,10441,Active,0,0.0,12
SUB-000227,CUS-00154,2022-01-02,2024-12-17,3357.33,40288,At Risk,0,0.0,36
SUB-000228,CUS-00155,2025-05-11,2027-05-01,23780.25,285363,Active,0,0.0,24
SUB-000229,CUS-00156,2023-10-26,2024-10-20,845.58,10147,Churned,1,0.0,12
SUB-000230,CUS-00157,2024-09-27,2026-09-17,8752.08,105025,Active,0,3783.05,24
SUB-000231,CUS-00157,2026-10-02,2027-09-27,8752.08,105025,Active,0,0.0,12
SUB-000232,CUS-00158,2022-02-09,2025-01-24,7933.33,95200,Active,0,0.0,36
SUB-000233,CUS-00158,2025-02-06,2026-02-01,7933.33,95200,Active,0,1402.74,12
SUB-000234,CUS-00158,2026-02-06,2028-01-27,7933.33,95200,Active,0,0.0,24
SUB-000235,CUS-00159,2022-08-18,2025-08-02,827.0,9924,Active,0,0.0,36
SUB-000236,CUS-00159,2025-08-16,2028-07-31,827.0,9924,Active,0,0.0,36
SUB-000237,CUS-00160,2024-01-14,2025-01-08,8709.75,104517,Renewed,0,0.0,12
SUB-000238,CUS-00160,2025-01-16,2026-01-11,8709.75,104517,Active,0,0.0,12
SUB-000239,CUS-00161,2023-09-22,2024-09-16,3204.92,38459,At Risk,0,0.0,12
SUB-000240,CUS-00162,2023-05-06,2025-04-25,12546.67,150560,Churned,1,0.0,24
SUB-000241,CUS-00162,2025-04-26,2026-04-21,12546.67,150560,Active,0,0.0,12
SUB-000242,CUS-00162,2026-05-05,2028-04-24,12546.67,150560,Active,0,0.0,24
SUB-000243,CUS-00163,2022-04-29,2023-04-24,3770.92,45251,Churned,1,0.0,12
SUB-000244,CUS-00163,2023-05-05,2024-04-29,3770.92,45251,Active,0,0.0,12
SUB-000245,CUS-00164,2023-05-09,2024-05-03,3999.42,47993,Churned,1,0.0,12
SUB-000246,CUS-00164,2024-05-05,2026-04-25,3999.42,47993,Active,0,0.0,24
SUB-000247,CUS-00165,2025-03-07,2026-03-02,457.92,5495,Active,0,0.0,12
SUB-000248,CUS-00166,2022-06-11,2023-06-06,34816.33,417796,Churned,1,0.0,12
SUB-000249,CUS-00167,2022-06-25,2025-06-09,6176.83,74122,Churned,1,0.0,36
SUB-000250,CUS-00167,2025-06-21,2026-06-16,6176.83,74122,Active,0,0.0,12
SUB-000251,CUS-00168,2024-09-22,2026-09-12,821.0,9852,Active,0,0.0,24
SUB-000252,CUS-00168,2026-09-19,2027-09-14,821.0,9852,Active,0,0.0,12
SUB-000253,CUS-00168,2027-09-28,2030-09-12,821.0,9852,Active,0,0.0,36
SUB-000254,CUS-00169,2022-05-22,2025-05-06,887.5,10650,Renewed,0,0.0,36
SUB-000255,CUS-00169,2025-05-17,2026-05-12,887.5,10650,Active,0,0.0,12
SUB-000256,CUS-00169,2026-05-13,2027-05-08,887.5,10650,Active,0,0.0,12
SUB-000257,CUS-00170,2024-12-26,2025-12-21,7475.83,89710,At Risk,0,0.0,12
SUB-000258,CUS-00171,2022-09-15,2023-09-10,10525.58,126307,Renewed,0,0.0,12
SUB-000259,CUS-00172,2022-09-20,2023-09-15,946.0,11352,At Risk,0,0.0,12
SUB-000260,CUS-00172,2023-09-26,2024-09-20,946.0,11352,Active,0,0.0,12
SUB-000261,CUS-00173,2024-08-31,2027-08-16,2137.67,25652,Active,0,0.0,36
SUB-000262,CUS-00174,2025-01-30,2026-01-25,800.67,9608,Active,0,0.0,12
SUB-000263,CUS-00175,2022-12-05,2024-11-24,5633.92,67607,At Risk,0,0.0,24
SUB-000264,CUS-00176,2023-06-27,2025-06-16,799.33,9592,Renewed,0,0.0,24
SUB-000265,CUS-00177,2024-12-16,2027-12-01,7195.67,86348,Active,0,0.0,36
SUB-000266,CUS-00178,2025-05-27,2026-05-22,2840.92,34091,Active,0,0.0,12
SUB-000267,CUS-00179,2024-05-16,2026-05-06,24374.83,292498,Active,0,0.0,24
SUB-000268,CUS-00180,2023-03-10,2026-02-22,773.08,9277,Active,0,0.0,36
SUB-000269,CUS-00181,2025-01-09,2027-12-25,2716.67,32600,Active,0,0.0,36
SUB-000270,CUS-00181,2027-12-30,2028-12-24,2716.67,32600,Active,0,0.0,12
SUB-000271,CUS-00182,2023-02-16,2024-02-11,856.5,10278,Churned,1,0.0,12
SUB-000272,CUS-00183,2023-10-01,2024-09-25,34398.67,412784,Active,0,0.0,12
SUB-000273,CUS-00184,2024-03-28,2025-03-23,29401.92,352823,At Risk,0,0.0,12
SUB-000274,CUS-00185,2024-02-04,2026-01-24,2056.5,24678,Active,0,0.0,24
SUB-000275,CUS-00185,2026-01-26,2028-01-16,2056.5,24678,Active,0,904.49,24
SUB-000276,CUS-00186,2024-06-16,2025-06-11,8576.17,102914,Renewed,0,0.0,12
SUB-000277,CUS-00186,2025-06-12,2027-06-02,8576.17,102914,Active,0,3431.63,24
SUB-000278,CUS-00187,2024-11-25,2027-11-10,7827.67,93932,Active,0,0.0,36
SUB-000279,CUS-00188,2024-07-13,2025-07-08,11928.0,143136,Active,0,0.0,12
SUB-000280,CUS-00189,2022-09-05,2023-08-31,4051.5,48618,Active,0,0.0,12
SUB-000281,CUS-00189,2023-09-05,2024-08-30,4051.5,48618,Renewed,0,0.0,12
SUB-000282,CUS-00190,2023-05-23,2026-05-07,515.5,6186,Active,0,80.59,36
SUB-000283,CUS-00190,2026-05-14,2027-05-09,515.5,6186,Active,0,0.0,12
SUB-000284,CUS-00191,2023-04-06,2024-03-31,1034.25,12411,Active,0,0.0,12
SUB-000285,CUS-00191,2024-04-01,2025-03-27,1034.25,12411,Active,0,0.0,12
SUB-000286,CUS-00192,2022-05-12,2023-05-07,41605.42,499265,Renewed,0,0.0,12
SUB-000287,CUS-00193,2023-11-24,2025-11-13,19511.0,234132,At Risk,0,0.0,24
SUB-000288,CUS-00194,2022-02-13,2025-01-28,10207.08,122485,Churned,1,0.0,36
SUB-000289,CUS-00194,2025-01-31,2026-01-26,10207.08,122485,Active,0,0.0,12
SUB-000290,CUS-00195,2025-04-19,2026-04-14,3705.83,44470,Active,0,0.0,12
SUB-000291,CUS-00195,2026-04-25,2027-04-20,3705.83,44470,Active,0,0.0,12
