ticket_id,customer_id,issue_type,priority,status,created_date
331,279,Billing,High,Pending,2026-01-11
332,430,Bug Report,Medium,Open,2025-01-21
333,112,Bug Report,High,Resolved,2025-06-26
334,332,Billing,High,Pending,2025-01-05
335,54,Login Issue,Medium,Pending,2026-04-20
336,8,Billing,High,Open,2024-11-27
337,306,Feature Request,Medium,Open,2025-06-25
338,179,Billing,Low,Pending,2024-07-18
339,202,Billing,High,Pending,2024-08-02
340,271,Bug Report,High,Resolved,2026-03-28
341,79,Account Access,High,Pending,2025-07-17
342,226,Feature Request,Medium,Resolved,2026-03-19
343,438,Billing,Low,Resolved,2025-08-09
344,157,Billing,Low,Open,2025-10-29
345,187,Account Access,Low,Pending,2025-09-23
346,259,Login Issue,Medium,Open,2026-04-12
347,205,Login Issue,High,Pending,2025-06-01
348,203,Account Access,Medium,Open,2025-04-05
349,48,Billing,Medium,Pending,2025-10-28
350,169,Login Issue,High,Pending,2024-10-02
351,135,Login Issue,High,Pending,2025-02-21
352,468,Account Access,Medium,Pending,2024-08-05
353,159,Login Issue,High,Resolved,2024-08-30
354,436,Feature Request,Medium,Resolved,2025-06-06
355,404,Login Issue,High,Resolved,2026-03-23
356,347,Feature Request,High,Resolved,2025-09-07
357,40,Feature Request,Low,Pending,2026-05-17
358,429,Feature Request,Medium,Open,2024-06-09
359,349,Billing,Medium,Pending,2024-11-07
360,122,Billing,Medium,Open,2025-05-24
361,131,Billing,Low,Open,2026-04-03
362,366,Feature Request,High,Resolved,2025-05-20
363,56,Feature Request,Medium,Open,2026-03-02
364,348,Bug Report,Medium,Resolved,2024-08-06
365,22,Feature Request,Low,Open,2025-09-11
366,317,Feature Request,High,Pending,2025-10-24
367,197,Feature Request,Medium,Resolved,2026-03-19
368,9,Bug Report,Medium,Open,2025-01-15
369,362,Feature Request,Medium,Resolved,2025-07-31
370,207,Login Issue,Medium,Resolved,2025-12-31
371,50,Feature Request,Low,Open,2026-05-22
372,183,Bug Report,High,Open,2025-05-12
373,288,Login Issue,Medium,Open,2024-12-18
374,77,Billing,Medium,Open,2025-12-29
375,155,Login Issue,Medium,Open,2025-10-12
376,334,Account Access,Medium,Pending,2025-08-10
377,159,Billing,Low,Resolved,2024-10-15
378,131,Billing,High,Resolved,2025-07-05
379,329,Account Access,High,Pending,2024-08-17
380,58,Feature Request,Low,Pending,2024-05-28
381,119,Bug Report,Medium,Resolved,2025-10-20
382,278,Feature Request,Medium,Open,2024-12-01
383,130,Bug Report,High,Open,2025-10-03
384,137,Feature Request,High,Pending,2024-05-26
385,406,Bug Report,Medium,Open,2025-04-13
386,466,Login Issue,High,Pending,2025-09-16
387,426,Login Issue,High,Pending,2025-07-04
388,246,Feature Request,Low,Resolved,2025-08-02
389,321,Bug Report,Medium,Open,2025-05-26
390,134,Login Issue,High,Open,2026-01-13
391,366,Bug Report,Low,Open,2024-10-08
392,413,Feature Request,High,Pending,2026-05-08
393,206,Bug Report,Low,Pending,2025-03-07
394,278,Bug Report,Low,Resolved,2024-12-29
395,125,Account Access,High,Resolved,2025-01-05
396,184,Bug Report,High,Open,2026-01-07
397,341,Bug Report,Low,Pending,2024-11-11
398,402,Login Issue,Low,Resolved,2025-11-09
399,15,Account Access,High,Resolved,2024-07-05
400,224,Feature Request,Medium,Pending,2025-06-23
401,12,Feature Request,Low,Open,2024-10-29
402,119,Account Access,High,Pending,2024-06-04
403,206,Billing,Medium,Pending,2026-01-09
404,419,Bug Report,High,Pending,2025-01-20
405,83,Login Issue,High,Open,2024-06-15
406,22,Feature Request,Medium,Pending,2025-10-08
407,296,Account Access,High,Open,2024-09-06
408,74,Account Access,High,Pending,2024-10-30
409,84,Billing,Low,Open,2024-06-09
410,147,Bug Report,High,Pending,2024-12-26
411,463,Account Access,Medium,Resolved,2025-08-30
412,383,Login Issue,High,Open,2025-09-02
413,492,Account Access,Medium,Pending,2024-08-01
414,417,Billing,Low,Pending,2024-11-26
415,208,Bug Report,Low,Pending,2024-07-23
416,357,Bug Report,Medium,Pending,2024-07-17
417,89,Login Issue,Low,Open,2025-07-02
418,464,Bug Report,Low,Open,2024-10-13
419,340,Feature Request,Medium,Open,2024-11-04
420,347,Account Access,High,Resolved,2025-08-21
421,81,Bug Report,Low,Pending,2025-11-01
422,162,Feature Request,Low,Pending,2025-06-01
423,154,Login Issue,High,Open,2026-01-25
424,462,Billing,Low,Resolved,2026-03-28
425,128,Feature Request,Low,Resolved,2026-05-17
426,165,Account Access,Medium,Open,2026-05-18
427,420,Account Access,Medium,Resolved,2024-08-03
428,13,Account Access,Medium,Pending,2025-06-23
429,277,Billing,Medium,Open,2025-02-09
430,374,Feature Request,Medium,Open,2025-07-20
431,101,Account Access,High,Pending,2026-02-19
432,200,Login Issue,Low,Resolved,2026-05-16
433,269,Account Access,Medium,Pending,2025-07-10
434,193,Bug Report,Low,Open,2025-03-01
435,297,Feature Request,High,Open,2024-10-25
436,262,Login Issue,Medium,Open,2026-01-01
437,129,Bug Report,Low,Pending,2024-10-03
438,105,Bug Report,Medium,Open,2025-11-06
439,250,Account Access,Medium,Open,2025-10-10
440,185,Login Issue,High,Open,2024-11-15
441,99,Billing,Medium,Open,2026-04-25
442,72,Login Issue,Medium,Pending,2024-12-18
443,412,Account Access,High,Open,2026-02-12
444,479,Feature Request,High,Pending,2026-02-16
445,410,Login Issue,Medium,Pending,2026-03-22
446,276,Bug Report,High,Open,2024-10-24
447,362,Login Issue,Medium,Open,2024-06-18
448,479,Billing,Low,Resolved,2025-08-21
449,477,Bug Report,Low,Resolved,2024-10-20
450,161,Billing,High,Resolved,2026-02-26
451,259,Account Access,High,Pending,2024-11-22
452,238,Billing,Medium,Pending,2025-12-01
453,193,Billing,Low,Pending,2025-12-08
454,260,Billing,Low,Resolved,2025-04-21
455,139,Login Issue,Medium,Resolved,2024-10-10
456,193,Billing,Low,Pending,2025-12-09
457,372,Login Issue,Medium,Pending,2025-03-05
458,417,Feature Request,High,Open,2025-06-14
459,433,Account Access,Medium,Resolved,2025-07-31
460,302,Account Access,Medium,Open,2025-10-05
461,481,Feature Request,Medium,Resolved,2025-11-09
462,424,Feature Request,Medium,Pending,2026-01-22
463,108,Account Access,High,Open,2024-06-04
464,199,Bug Report,Medium,Open,2024-06-17
465,17,Login Issue,High,Resolved,2025-09-26
466,23,Billing,High,Pending,2025-06-08
467,190,Account Access,Medium,Pending,2026-03-04
468,320,Bug Report,Medium,Open,2025-02-25
469,316,Feature Request,Low,Resolved,2025-10-25
470,207,Bug Report,High,Pending,2024-12-18
471,321,Bug Report,Medium,Resolved,2024-12-09
472,324,Billing,Low,Resolved,2025-06-15
473,157,Feature Request,Medium,Pending,2024-12-02
474,240,Bug Report,Medium,Resolved,2025-06-22
475,399,Bug Report,High,Pending,2024-06-25
476,311,Login Issue,Low,Resolved,2025-09-09
477,261,Billing,Medium,Resolved,2024-09-17
478,9,Billing,High,Resolved,2025-03-17
479,21,Account Access,Low,Open,2026-01-28
480,449,Login Issue,Medium,Open,2025-08-07
481,327,Login Issue,Low,Resolved,2025-06-28
482,191,Feature Request,Low,Pending,2025-12-07
483,260,Account Access,Low,Open,2024-09-26
484,434,Feature Request,Low,Resolved,2024-08-26
485,121,Feature Request,High,Pending,2025-02-19
486,361,Bug Report,Low,Resolved,2026-04-17
487,155,Billing,Medium,Open,2024-12-24
488,446,Billing,Medium,Resolved,2024-08-13
489,132,Login Issue,High,Open,2024-06-29
490,403,Account Access,High,Resolved,2025-03-23
491,171,Account Access,Low,Open,2025-01-17
492,344,Billing,Medium,Open,2025-10-27
493,260,Bug Report,High,Pending,2025-03-10
494,11,Login Issue,High,Open,2025-03-30
495,328,Bug Report,High,Pending,2025-09-19
496,73,Login Issue,High,Pending,2025-09-12
497,199,Login Issue,High,Open,2024-12-14
498,79,Feature Request,High,Open,2025-11-18
499,20,Bug Report,Low,Pending,2026-05-15
500,198,Billing,Low,Pending,2026-02-12
501,385,Login Issue,Medium,Resolved,2025-07-19
502,219,Feature Request,Medium,Open,2024-08-07
503,469,Bug Report,High,Open,2024-09-13
504,168,Bug Report,High,Resolved,2024-10-24
505,422,Bug Report,Medium,Pending,2026-04-10
506,339,Account Access,Medium,Pending,2024-08-04
507,239,Account Access,High,Open,2026-03-17
508,241,Billing,High,Open,2026-05-20
509,30,Billing,Medium,Pending,2025-05-25
510,351,Feature Request,Medium,Resolved,2025-08-18
511,434,Login Issue,Low,Pending,2025-03-15
512,459,Account Access,High,Pending,2024-09-05
513,152,Login Issue,High,Open,2024-08-22
514,498,Feature Request,Medium,Open,2025-07-06
515,61,Bug Report,High,Pending,2025-11-03
516,61,Login Issue,Medium,Pending,2025-10-31
517,425,Bug Report,High,Open,2024-07-07
518,376,Feature Request,High,Open,2026-03-23
519,279,Billing,Medium,Open,2025-04-21
520,73,Login Issue,Low,Pending,2025-03-19
521,453,Bug Report,High,Open,2025-04-06
522,32,Bug Report,Low,Resolved,2025-12-21
523,193,Account Access,High,Resolved,2025-10-22
524,42,Feature Request,Low,Resolved,2024-07-11
525,336,Login Issue,High,Pending,2025-05-30
526,476,Billing,Medium,Open,2025-06-23
527,192,Billing,Low,Open,2024-07-13
528,385,Bug Report,High,Open,2025-10-16
529,8,Bug Report,Low,Resolved,2026-03-03
530,486,Bug Report,Low,Pending,2025-06-01
531,170,Bug Report,High,Pending,2025-08-03
532,427,Bug Report,High,Resolved,2025-02-22
533,364,Billing,High,Pending,2025-06-02
534,469,Feature Request,Low,Pending,2025-01-21
535,219,Bug Report,High,Resolved,2025-11-28
536,69,Feature Request,Medium,Resolved,2025-06-30
537,178,Bug Report,Medium,Pending,2025-03-28
538,317,Feature Request,High,Pending,2024-10-06
539,405,Account Access,High,Pending,2025-12-09
540,365,Billing,Low,Open,2025-08-02
541,319,Bug Report,High,Resolved,2024-06-21
542,188,Account Access,Medium,Resolved,2024-12-09
543,125,Login Issue,Medium,Open,2025-10-30
544,418,Login Issue,High,Pending,2026-05-25
545,283,Bug Report,Medium,Resolved,2024-10-09
546,207,Bug Report,High,Resolved,2024-06-08
547,273,Bug Report,Low,Resolved,2025-03-20
548,287,Login Issue,High,Resolved,2024-12-01
549,93,Feature Request,Medium,Open,2025-09-18
550,412,Login Issue,Medium,Pending,2026-02-01
551,40,Billing,Medium,Resolved,2024-09-29
552,477,Account Access,Low,Open,2026-01-01
553,165,Login Issue,Medium,Resolved,2024-09-20
554,389,Billing,Low,Pending,2025-02-12
555,360,Bug Report,High,Resolved,2025-08-13
556,279,Bug Report,High,Pending,2025-05-13
557,194,Account Access,Low,Pending,2025-06-24
558,481,Account Access,Medium,Resolved,2025-07-21
559,43,Account Access,Medium,Open,2024-12-20
560,86,Account Access,Low,Open,2025-12-11
561,396,Billing,Low,Resolved,2025-03-07
562,108,Billing,Low,Resolved,2025-08-04
563,356,Bug Report,Medium,Open,2025-02-28
564,29,Billing,Low,Pending,2026-05-06
565,404,Login Issue,High,Open,2025-10-16
566,182,Login Issue,High,Open,2025-04-18
567,36,Login Issue,High,Pending,2024-11-04
568,150,Account Access,Medium,Pending,2025-08-05
569,500,Account Access,Medium,Pending,2026-03-15
570,498,Billing,High,Resolved,2024-12-10
571,158,Feature Request,Low,Resolved,2024-12-31
572,151,Feature Request,Medium,Pending,2025-12-04
573,374,Bug Report,Medium,Open,2025-12-06
574,353,Feature Request,High,Resolved,2025-09-17
575,363,Feature Request,High,Pending,2025-02-25
576,407,Login Issue,Low,Resolved,2025-10-14
577,273,Bug Report,Medium,Pending,2025-11-30
578,358,Login Issue,High,Open,2024-12-14
579,36,Account Access,Medium,Open,2026-05-09
580,465,Feature Request,Low,Open,2025-10-23
581,470,Feature Request,High,Pending,2025-07-01
582,196,Bug Report,High,Open,2025-09-03
583,375,Billing,High,Resolved,2024-07-26
584,344,Billing,Low,Pending,2024-06-26
585,104,Billing,Medium,Open,2025-06-28
586,420,Feature Request,High,Pending,2024-07-23
587,272,Feature Request,High,Open,2026-04-29
588,325,Billing,Medium,Pending,2024-11-24
589,325,Bug Report,Medium,Pending,2025-07-18
590,219,Account Access,Low,Resolved,2024-09-22
591,462,Feature Request,Low,Resolved,2025-04-22
592,497,Billing,High,Open,2025-06-19
593,417,Bug Report,Low,Open,2025-09-10
